company,raw,dup_collapsed,collapse_rate
Recruiting from Scratch,1704,1664,0.9765258215962441
Capital One,2034,1339,0.6583087512291053
PricewaterhouseCoopers,482,461,0.9564315352697096
Epic,444,438,0.9864864864864865
Deloitte,472,407,0.8622881355932204
ClickJobs.io,483,319,0.660455486542443
Affirm,293,278,0.9488054607508533
DataAnnotation,259,224,0.8648648648648649
Google,806,213,0.2642679900744417
We are deploying software-defined,196,194,0.9897959183673469
Commitment Full-time,189,187,0.9894179894179894
YO IT Consulting,193,179,0.927461139896373
"Scribd, Inc.",174,162,0.9310344827586207
Meta,219,147,0.6712328767123288
Agoda,167,142,0.8502994011976048
Canonical,113,106,0.9380530973451328
Ernst & Young,106,93,0.8773584905660378
Amazon Web Services (AWS),426,85,0.19953051643192488
Cloudflare,143,85,0.5944055944055944
IBM,153,85,0.5555555555555556
General Motors,235,83,0.35319148936170214
GEICO,145,78,0.5379310344827586
MindPal,79,78,0.9873417721518988
SimVentions,86,76,0.8837209302325582
Cisco,135,74,0.5481481481481482
KPMG US,147,72,0.4897959183673469
Alignerr,110,72,0.6545454545454545
BLUE ORIGIN,241,68,0.2821576763485477
Crowe,72,65,0.9027777777777778
HDR,70,61,0.8714285714285714
