,n,n,n,scope,scope,scope,mentor,mentor,mentor,ai,ai,ai
source,kaggle_arshkon,kaggle_asaniczka,scraped,kaggle_arshkon,kaggle_asaniczka,scraped,kaggle_arshkon,kaggle_asaniczka,scraped,kaggle_arshkon,kaggle_asaniczka,scraped
company,,,,,,,,,,,,
Amazon,9.0,8.0,36.0,0.2222222222222222,0.375,0.6111111111111112,0.1111111111111111,0.0,0.16666666666666666,0.0,0.0,0.3888888888888889
Amazon Web Services (AWS),2.0,1.0,20.0,0.0,0.0,0.7,0.0,0.0,0.05,0.0,1.0,0.15
Apex Systems,3.0,,14.0,0.0,,0.35714285714285715,0.0,,0.07142857142857142,0.0,,0.14285714285714285
Boeing,2.0,,11.0,0.0,,0.8181818181818182,0.0,,0.0,0.0,,0.09090909090909091
Capital One,9.0,12.0,13.0,0.0,0.5,0.3076923076923077,0.1111111111111111,0.16666666666666666,0.0,0.0,0.0,0.23076923076923078
Esri,2.0,,27.0,0.0,,0.48148148148148145,0.0,,0.0,0.0,,0.0
Experis,2.0,1.0,5.0,0.5,1.0,0.4,0.0,0.0,0.0,0.0,0.0,0.4
Ford Motor Company,4.0,,5.0,0.0,,0.8,0.25,,0.0,0.0,,0.2
General Dynamics Mission Systems,2.0,4.0,17.0,1.0,0.5,0.9411764705882353,0.0,0.0,0.0,0.0,0.0,0.0
Google,7.0,6.0,281.0,0.42857142857142855,0.8333333333333334,0.23843416370106763,0.0,0.0,0.0,0.0,0.0,0.18505338078291814
Honeywell,4.0,2.0,4.0,0.25,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.25
ICE,3.0,,3.0,0.0,,0.0,0.0,,0.0,0.0,,0.3333333333333333
Insight Global,2.0,4.0,3.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0
Intel,4.0,,4.0,1.0,,0.75,0.0,,0.0,0.25,,0.0
JPMorgan Chase & Co.,2.0,,25.0,0.0,,0.44,0.0,,0.04,0.0,,0.4
Leidos,7.0,1.0,26.0,0.7142857142857143,0.0,0.4230769230769231,0.0,0.0,0.07692307692307693,0.0,0.0,0.2692307692307692
Microsoft,10.0,,55.0,0.4,,0.509090909090909,0.0,,0.05454545454545454,0.0,,0.5454545454545454
"Mission Technologies, a division of HII",2.0,8.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Northrop Grumman,2.0,39.0,26.0,0.5,0.07692307692307693,0.23076923076923078,0.0,0.02564102564102564,0.038461538461538464,0.0,0.0,0.0
Oracle,2.0,,4.0,1.0,,0.0,0.0,,0.25,0.0,,0.0
Qualcomm,4.0,,80.0,0.5,,0.6125,0.0,,0.0375,0.25,,0.1375
Tech Consulting,4.0,,6.0,0.0,,0.0,0.0,,0.0,0.0,,0.0
Wells Fargo,2.0,11.0,58.0,0.0,0.5454545454545454,0.8275862068965517,0.0,0.0,0.06896551724137931,0.0,0.0,0.5517241379310345
myGwork - LGBTQ+ Business Community,3.0,,8.0,0.0,,0.5,0.0,,0.0,0.0,,0.25
