industry,0
Software Development,169
IT Services and IT Consulting,57
"Technology, Information and Internet",35
Financial Services,31
Defense and Space Manufacturing,11
Hospitals and Health Care,9
Business Consulting and Services,7
Staffing and Recruiting,7
Telecommunications,6
Engineering Services,5
Internet Publishing,5
Information Technology & Services,4
"Technology, Information and Media",4
Insurance,4
Medical Equipment Manufacturing,4
