source,source_platform,period,total,swe,swe_adjacent,control
kaggle_arshkon,linkedin,2024-04,117645,5019.0,2475.0,8445.0
kaggle_asaniczka,linkedin,2024-01,1012193,23213.0,11068.0,112080.0
scraped,linkedin,2026-03,145280,24054.0,6663.0,21250.0
scraped,linkedin,2026-04,69323,11008.0,3160.0,10436.0
