source,period,seniority_final,n,mean,median,p25,p75,metric,text_source,company_cap
kaggle_arshkon,2024-04,mid-senior,5,0.2,0.0,0.0,0.0,tech_count,raw,25
kaggle_arshkon,2024-04,unknown,6,1.0,0.5,0.0,1.75,tech_count,raw,25
kaggle_asaniczka,2024-01,director,2,5.0,5.0,4.0,6.0,tech_count,raw,25
kaggle_asaniczka,2024-01,entry,4,3.75,3.5,2.25,5.0,tech_count,raw,25
kaggle_asaniczka,2024-01,mid-senior,1081,3.064754856614246,2.0,1.0,5.0,tech_count,raw,25
kaggle_asaniczka,2024-01,unknown,562,2.4804270462633453,2.0,0.0,4.0,tech_count,raw,25
scraped,2026-03,director,81,4.580246913580247,4.0,1.0,7.0,tech_count,raw,25
scraped,2026-03,entry,331,2.900302114803625,2.0,1.0,4.0,tech_count,raw,25
scraped,2026-03,mid-senior,4838,3.7581645307978504,3.0,1.0,6.0,tech_count,raw,25
scraped,2026-03,unknown,6830,3.2635431918008786,3.0,1.0,5.0,tech_count,raw,25
scraped,2026-04,director,78,4.115384615384615,3.5,1.0,6.0,tech_count,raw,25
scraped,2026-04,entry,291,3.154639175257732,2.0,1.0,5.0,tech_count,raw,25
scraped,2026-04,mid-senior,4783,3.738657746184403,3.0,1.0,6.0,tech_count,raw,25
scraped,2026-04,unknown,6907,3.1938613001303024,2.0,1.0,5.0,tech_count,raw,25
kaggle_arshkon,2024-04,mid-senior,5,0.2,0.0,0.0,0.0,ai_count,raw,25
kaggle_arshkon,2024-04,unknown,6,0.3333333333333333,0.0,0.0,0.0,ai_count,raw,25
kaggle_asaniczka,2024-01,director,2,0.0,0.0,0.0,0.0,ai_count,raw,25
kaggle_asaniczka,2024-01,entry,4,0.0,0.0,0.0,0.0,ai_count,raw,25
kaggle_asaniczka,2024-01,mid-senior,1081,0.06567992599444958,0.0,0.0,0.0,ai_count,raw,25
kaggle_asaniczka,2024-01,unknown,562,0.04448398576512456,0.0,0.0,0.0,ai_count,raw,25
scraped,2026-03,director,81,0.5555555555555556,0.0,0.0,0.0,ai_count,raw,25
scraped,2026-03,entry,331,0.513595166163142,0.0,0.0,0.0,ai_count,raw,25
scraped,2026-03,mid-senior,4838,0.5345183960314179,0.0,0.0,0.0,ai_count,raw,25
scraped,2026-03,unknown,6830,0.42020497803806733,0.0,0.0,0.0,ai_count,raw,25
scraped,2026-04,director,78,0.6538461538461539,0.0,0.0,1.0,ai_count,raw,25
scraped,2026-04,entry,291,0.6219931271477663,0.0,0.0,1.0,ai_count,raw,25
scraped,2026-04,mid-senior,4783,0.5287476479197156,0.0,0.0,0.0,ai_count,raw,25
scraped,2026-04,unknown,6907,0.4845808599971044,0.0,0.0,0.0,ai_count,raw,25
kaggle_arshkon,2024-04,mid-senior,5,0.6,0.0,0.0,0.0,soft_skill_count,raw,25
kaggle_arshkon,2024-04,unknown,6,0.16666666666666666,0.0,0.0,0.0,soft_skill_count,raw,25
kaggle_asaniczka,2024-01,director,2,0.0,0.0,0.0,0.0,soft_skill_count,raw,25
kaggle_asaniczka,2024-01,entry,4,0.5,0.5,0.0,1.0,soft_skill_count,raw,25
kaggle_asaniczka,2024-01,mid-senior,1081,0.3894542090656799,0.0,0.0,1.0,soft_skill_count,raw,25
kaggle_asaniczka,2024-01,unknown,562,0.3398576512455516,0.0,0.0,1.0,soft_skill_count,raw,25
scraped,2026-03,director,81,0.3950617283950617,0.0,0.0,1.0,soft_skill_count,raw,25
scraped,2026-03,entry,331,0.5105740181268882,0.0,0.0,1.0,soft_skill_count,raw,25
scraped,2026-03,mid-senior,4838,0.4208350558081852,0.0,0.0,1.0,soft_skill_count,raw,25
scraped,2026-03,unknown,6830,0.4314787701317716,0.0,0.0,1.0,soft_skill_count,raw,25
scraped,2026-04,director,78,0.5384615384615384,0.0,0.0,1.0,soft_skill_count,raw,25
scraped,2026-04,entry,291,0.5910652920962199,0.0,0.0,1.0,soft_skill_count,raw,25
scraped,2026-04,mid-senior,4783,0.42546518921179177,0.0,0.0,1.0,soft_skill_count,raw,25
scraped,2026-04,unknown,6907,0.4184160996090922,0.0,0.0,1.0,soft_skill_count,raw,25
kaggle_arshkon,2024-04,mid-senior,5,0.4,0.0,0.0,1.0,scope_count,raw,25
kaggle_arshkon,2024-04,unknown,6,0.16666666666666666,0.0,0.0,0.0,scope_count,raw,25
kaggle_asaniczka,2024-01,director,2,0.5,0.5,0.25,0.75,scope_count,raw,25
kaggle_asaniczka,2024-01,entry,4,0.75,1.0,0.75,1.0,scope_count,raw,25
kaggle_asaniczka,2024-01,mid-senior,1081,0.3191489361702128,0.0,0.0,1.0,scope_count,raw,25
kaggle_asaniczka,2024-01,unknown,562,0.2099644128113879,0.0,0.0,0.0,scope_count,raw,25
scraped,2026-03,director,81,0.6666666666666666,0.0,0.0,1.0,scope_count,raw,25
scraped,2026-03,entry,331,0.37462235649546827,0.0,0.0,1.0,scope_count,raw,25
scraped,2026-03,mid-senior,4838,0.6930549813972716,1.0,0.0,1.0,scope_count,raw,25
scraped,2026-03,unknown,6830,0.48784773060029285,0.0,0.0,1.0,scope_count,raw,25
scraped,2026-04,director,78,0.717948717948718,1.0,0.0,1.0,scope_count,raw,25
scraped,2026-04,entry,291,0.43986254295532645,0.0,0.0,1.0,scope_count,raw,25
scraped,2026-04,mid-senior,4783,0.6859711478151788,1.0,0.0,1.0,scope_count,raw,25
scraped,2026-04,unknown,6907,0.466193716519473,0.0,0.0,1.0,scope_count,raw,25
kaggle_arshkon,2024-04,mid-senior,5,0.0,0.0,0.0,0.0,management_strong_count,raw,25
kaggle_arshkon,2024-04,unknown,6,0.0,0.0,0.0,0.0,management_strong_count,raw,25
kaggle_asaniczka,2024-01,director,2,0.0,0.0,0.0,0.0,management_strong_count,raw,25
kaggle_asaniczka,2024-01,entry,4,0.25,0.0,0.0,0.25,management_strong_count,raw,25
kaggle_asaniczka,2024-01,mid-senior,1081,0.19611470860314523,0.0,0.0,0.0,management_strong_count,raw,25
kaggle_asaniczka,2024-01,unknown,562,0.13345195729537365,0.0,0.0,0.0,management_strong_count,raw,25
scraped,2026-03,director,81,0.4074074074074074,0.0,0.0,1.0,management_strong_count,raw,25
scraped,2026-03,entry,331,0.21148036253776434,0.0,0.0,0.0,management_strong_count,raw,25
scraped,2026-03,mid-senior,4838,0.25279040926002483,0.0,0.0,0.0,management_strong_count,raw,25
scraped,2026-03,unknown,6830,0.15871156661786237,0.0,0.0,0.0,management_strong_count,raw,25
scraped,2026-04,director,78,0.5256410256410257,0.0,0.0,1.0,management_strong_count,raw,25
scraped,2026-04,entry,291,0.21305841924398625,0.0,0.0,0.0,management_strong_count,raw,25
scraped,2026-04,mid-senior,4783,0.23980765210119173,0.0,0.0,0.0,management_strong_count,raw,25
scraped,2026-04,unknown,6907,0.16012740697842767,0.0,0.0,0.0,management_strong_count,raw,25
kaggle_arshkon,2024-04,mid-senior,5,1.4,2.0,1.0,2.0,management_broad_count,raw,25
kaggle_arshkon,2024-04,unknown,6,0.6666666666666666,0.5,0.0,1.0,management_broad_count,raw,25
kaggle_asaniczka,2024-01,director,2,0.5,0.5,0.25,0.75,management_broad_count,raw,25
kaggle_asaniczka,2024-01,entry,4,1.25,1.0,1.0,1.25,management_broad_count,raw,25
kaggle_asaniczka,2024-01,mid-senior,1081,0.7317298797409806,1.0,0.0,1.0,management_broad_count,raw,25
kaggle_asaniczka,2024-01,unknown,562,0.6138790035587188,0.0,0.0,1.0,management_broad_count,raw,25
scraped,2026-03,director,81,0.8518518518518519,1.0,0.0,1.0,management_broad_count,raw,25
scraped,2026-03,entry,331,0.6646525679758308,1.0,0.0,1.0,management_broad_count,raw,25
scraped,2026-03,mid-senior,4838,0.84725093013642,1.0,0.0,1.0,management_broad_count,raw,25
scraped,2026-03,unknown,6830,0.6702781844802342,0.0,0.0,1.0,management_broad_count,raw,25
scraped,2026-04,director,78,1.0128205128205128,1.0,0.0,2.0,management_broad_count,raw,25
scraped,2026-04,entry,291,0.711340206185567,1.0,0.0,1.0,management_broad_count,raw,25
scraped,2026-04,mid-senior,4783,0.8572025925151578,1.0,0.0,1.0,management_broad_count,raw,25
scraped,2026-04,unknown,6907,0.6500651512957869,0.0,0.0,1.0,management_broad_count,raw,25
kaggle_arshkon,2024-04,mid-senior,5,0.0,0.0,0.0,0.0,education_flag,raw,25
kaggle_arshkon,2024-04,unknown,6,0.0,0.0,0.0,0.0,education_flag,raw,25
kaggle_asaniczka,2024-01,director,2,0.0,0.0,0.0,0.0,education_flag,raw,25
kaggle_asaniczka,2024-01,entry,4,0.0,0.0,0.0,0.0,education_flag,raw,25
kaggle_asaniczka,2024-01,mid-senior,1081,0.1036077705827937,0.0,0.0,0.0,education_flag,raw,25
kaggle_asaniczka,2024-01,unknown,562,0.12633451957295375,0.0,0.0,0.0,education_flag,raw,25
scraped,2026-03,director,81,0.12345679012345678,0.0,0.0,0.0,education_flag,raw,25
scraped,2026-03,entry,331,0.08157099697885196,0.0,0.0,0.0,education_flag,raw,25
scraped,2026-03,mid-senior,4838,0.0791649441918148,0.0,0.0,0.0,education_flag,raw,25
scraped,2026-03,unknown,6830,0.06412884333821377,0.0,0.0,0.0,education_flag,raw,25
scraped,2026-04,director,78,0.14102564102564102,0.0,0.0,0.0,education_flag,raw,25
scraped,2026-04,entry,291,0.0859106529209622,0.0,0.0,0.0,education_flag,raw,25
scraped,2026-04,mid-senior,4783,0.06920342881037006,0.0,0.0,0.0,education_flag,raw,25
scraped,2026-04,unknown,6907,0.07253510930939626,0.0,0.0,0.0,education_flag,raw,25
kaggle_arshkon,2024-04,mid-senior,5,0.4,0.0,0.0,1.0,yoe_flag,raw,25
kaggle_arshkon,2024-04,unknown,6,0.5,0.5,0.0,1.0,yoe_flag,raw,25
kaggle_asaniczka,2024-01,director,2,1.0,1.0,1.0,1.0,yoe_flag,raw,25
kaggle_asaniczka,2024-01,entry,4,0.75,1.0,0.75,1.0,yoe_flag,raw,25
kaggle_asaniczka,2024-01,mid-senior,1081,0.759481961147086,1.0,1.0,1.0,yoe_flag,raw,25
kaggle_asaniczka,2024-01,unknown,562,0.6868327402135231,1.0,0.0,1.0,yoe_flag,raw,25
scraped,2026-03,director,81,0.7160493827160493,1.0,0.0,1.0,yoe_flag,raw,25
scraped,2026-03,entry,331,0.20241691842900303,0.0,0.0,0.0,yoe_flag,raw,25
scraped,2026-03,mid-senior,4838,0.7424555601488219,1.0,0.0,1.0,yoe_flag,raw,25
scraped,2026-03,unknown,6830,0.618887262079063,1.0,0.0,1.0,yoe_flag,raw,25
scraped,2026-04,director,78,0.7051282051282052,1.0,0.0,1.0,yoe_flag,raw,25
scraped,2026-04,entry,291,0.21993127147766323,0.0,0.0,0.0,yoe_flag,raw,25
scraped,2026-04,mid-senior,4783,0.729876646456199,1.0,0.0,1.0,yoe_flag,raw,25
scraped,2026-04,unknown,6907,0.6127117417113074,1.0,0.0,1.0,yoe_flag,raw,25
kaggle_arshkon,2024-04,mid-senior,5,1.8,1.0,1.0,1.0,requirement_breadth,raw,25
kaggle_arshkon,2024-04,unknown,6,2.1666666666666665,2.0,0.25,3.75,requirement_breadth,raw,25
kaggle_asaniczka,2024-01,director,2,6.5,6.5,5.75,7.25,requirement_breadth,raw,25
kaggle_asaniczka,2024-01,entry,4,6.0,5.5,3.75,7.75,requirement_breadth,raw,25
kaggle_asaniczka,2024-01,mid-senior,1081,4.8982423681776135,4.0,2.0,7.0,requirement_breadth,raw,25
kaggle_asaniczka,2024-01,unknown,562,4.0213523131672595,3.5,2.0,5.0,requirement_breadth,raw,25
scraped,2026-03,director,81,7.444444444444445,7.0,4.0,11.0,requirement_breadth,raw,25
scraped,2026-03,entry,331,4.794561933534744,4.0,2.0,7.0,requirement_breadth,raw,25
scraped,2026-03,mid-senior,4838,6.480983877635387,6.0,4.0,9.0,requirement_breadth,raw,25
scraped,2026-03,unknown,6830,5.444802342606149,5.0,3.0,7.0,requirement_breadth,raw,25
scraped,2026-04,director,78,7.397435897435898,6.5,4.0,10.0,requirement_breadth,raw,25
scraped,2026-04,entry,291,5.326460481099656,4.0,3.0,7.0,requirement_breadth,raw,25
scraped,2026-04,mid-senior,4783,6.41772945849885,6.0,4.0,9.0,requirement_breadth,raw,25
scraped,2026-04,unknown,6907,5.408426234255104,5.0,3.0,7.0,requirement_breadth,raw,25
kaggle_arshkon,2024-04,mid-senior,5,1.4,1.0,1.0,1.0,credential_stack_depth,raw,25
kaggle_arshkon,2024-04,unknown,6,1.5,1.0,0.25,2.5,credential_stack_depth,raw,25
kaggle_asaniczka,2024-01,director,2,2.5,2.5,2.25,2.75,credential_stack_depth,raw,25
kaggle_asaniczka,2024-01,entry,4,3.0,3.5,2.5,4.0,credential_stack_depth,raw,25
kaggle_asaniczka,2024-01,mid-senior,1081,2.4569842738205367,2.0,2.0,3.0,credential_stack_depth,raw,25
kaggle_asaniczka,2024-01,unknown,562,2.1494661921708187,2.0,1.0,3.0,credential_stack_depth,raw,25
scraped,2026-03,director,81,3.0246913580246915,3.0,2.0,4.0,credential_stack_depth,raw,25
scraped,2026-03,entry,331,2.202416918429003,2.0,1.0,3.0,credential_stack_depth,raw,25
scraped,2026-03,mid-senior,4838,3.0086812732534103,3.0,2.0,4.0,credential_stack_depth,raw,25
scraped,2026-03,unknown,6830,2.5808199121522692,3.0,2.0,3.0,credential_stack_depth,raw,25
scraped,2026-04,director,78,3.41025641025641,4.0,2.0,4.0,credential_stack_depth,raw,25
scraped,2026-04,entry,291,2.429553264604811,2.0,2.0,3.0,credential_stack_depth,raw,25
scraped,2026-04,mid-senior,4783,2.97971984110391,3.0,2.0,4.0,credential_stack_depth,raw,25
scraped,2026-04,unknown,6907,2.5860721007673373,3.0,2.0,3.0,credential_stack_depth,raw,25
kaggle_arshkon,2024-04,mid-senior,5,1286.8,1700.0,1012.0,1767.0,text_len,raw,25
kaggle_arshkon,2024-04,unknown,6,990.0,1110.0,313.25,1345.75,text_len,raw,25
kaggle_asaniczka,2024-01,director,2,1389.0,1389.0,1373.5,1404.5,text_len,raw,25
kaggle_asaniczka,2024-01,entry,4,1401.0,1354.5,1160.25,1595.25,text_len,raw,25
kaggle_asaniczka,2024-01,mid-senior,1081,1137.8177613321,1110.0,699.0,1489.0,text_len,raw,25
kaggle_asaniczka,2024-01,unknown,562,974.008896797153,917.5,546.75,1311.5,text_len,raw,25
scraped,2026-03,director,81,1875.8148148148148,1694.0,1281.0,2412.0,text_len,raw,25
scraped,2026-03,entry,331,1279.8247734138972,1255.0,839.0,1688.5,text_len,raw,25
scraped,2026-03,mid-senior,4838,1579.1694915254238,1546.0,1078.0,2023.0,text_len,raw,25
scraped,2026-03,unknown,6830,1296.9674963396778,1234.0,759.0,1724.0,text_len,raw,25
scraped,2026-04,director,78,1985.4358974358975,1901.5,1555.25,2398.5,text_len,raw,25
