source,period,n,tier,term,total_n,share
kaggle_arshkon,2024-04,206,management_strong,manage,4679,0.04402650138918572
kaggle_asaniczka,2024-01,351,management_strong,manage,15574,0.022537562604340568
scraped,2026-03,76,management_strong,manage,3979,0.01910027645136969
scraped,2026-04,27,management_strong,manage,1987,0.013588324106693507
kaggle_arshkon,2024-04,206,management_strong,mentor,4679,0.04402650138918572
kaggle_asaniczka,2024-01,441,management_strong,mentor,15574,0.02831642481058174
scraped,2026-03,193,management_strong,mentor,3979,0.048504649409399345
scraped,2026-04,91,management_strong,mentor,1987,0.04579768495218923
kaggle_arshkon,2024-04,17,management_strong,coach,4679,0.0036332549690104724
kaggle_asaniczka,2024-01,39,management_strong,coach,15574,0.0025041736227045075
scraped,2026-03,11,management_strong,coach,3979,0.002764513696908771
scraped,2026-04,3,management_strong,coach,1987,0.001509813789632612
kaggle_arshkon,2024-04,47,management_strong,hire,4679,0.010044881384911306
kaggle_asaniczka,2024-01,110,management_strong,hire,15574,0.007063053807628098
scraped,2026-03,33,management_strong,hire,3979,0.008293541090726313
scraped,2026-04,17,management_strong,hire,1987,0.008555611474584801
kaggle_arshkon,2024-04,4,management_strong,direct_reports,4679,0.0008548835221201111
kaggle_asaniczka,2024-01,2,management_strong,headcount,15574,0.0001284191601386927
scraped,2026-03,3,management_strong,headcount,3979,0.0007539582809751194
scraped,2026-04,2,management_strong,headcount,1987,0.0010065425264217413
kaggle_arshkon,2024-04,97,management_strong,supervise,4679,0.020730925411412696
kaggle_asaniczka,2024-01,512,management_strong,supervise,15574,0.03287530499550533
scraped,2026-03,63,management_strong,supervise,3979,0.015833123900477506
scraped,2026-04,39,management_strong,supervise,1987,0.019627579265223957
kaggle_arshkon,2024-04,241,management_broad,lead,4679,0.051506732207736695
kaggle_asaniczka,2024-01,368,management_broad,lead,15574,0.023629125465519457
scraped,2026-03,79,management_broad,lead,3979,0.01985423473234481
scraped,2026-04,52,management_broad,lead,1987,0.026170105686965275
kaggle_arshkon,2024-04,1034,management_broad,team,4679,0.22098739046804872
kaggle_asaniczka,2024-01,2864,management_broad,team,15574,0.18389623731860794
scraped,2026-03,789,management_broad,team,3979,0.1982910278964564
scraped,2026-04,455,management_broad,team,1987,0.22898842476094616
kaggle_arshkon,2024-04,241,management_broad,stakeholder,4679,0.051506732207736695
kaggle_asaniczka,2024-01,623,management_broad,stakeholder,15574,0.04000256838320278
scraped,2026-03,244,management_broad,stakeholder,3979,0.06132194018597638
scraped,2026-04,128,management_broad,stakeholder,1987,0.06441872169099144
kaggle_arshkon,2024-04,250,management_broad,coordinate,4679,0.05343022013250694
kaggle_asaniczka,2024-01,1191,management_broad,coordinate,15574,0.0764736098625915
scraped,2026-03,146,management_broad,coordinate,3979,0.03669263634078914
scraped,2026-04,101,management_broad,coordinate,1987,0.050830397584297936
kaggle_arshkon,2024-04,710,management_broad,collaborate,4679,0.15174182517631973
kaggle_asaniczka,2024-01,1012,management_broad,collaborate,15574,0.0649800950301785
scraped,2026-03,354,management_broad,collaborate,3979,0.08896707715506409
scraped,2026-04,232,management_broad,collaborate,1987,0.116758933064922
kaggle_arshkon,2024-04,84,management_broad,partner,4679,0.017952553964522333
kaggle_asaniczka,2024-01,48,management_broad,partner,15574,0.0030820598433286247
scraped,2026-03,13,management_broad,partner,3979,0.003267152550892184
scraped,2026-04,6,management_broad,partner,1987,0.003019627579265224
