period,seniority_3level,mean_techs,median_techs,std_techs,n
2024-01,junior,5.092307692307692,4.0,4.572323470632344,130
2024-01,mid,4.508965517241379,3.0,4.5401653129058355,1450
2024-01,senior,6.319558082559054,5.0,5.584021903458968,21633
2024-04,junior,5.480722891566265,4.0,4.941050757579884,830
2024-04,mid,4.631578947368421,3.0,4.9938520050523545,228
2024-04,senior,6.75033244680851,6.0,5.107149200120909,3008
2024-04,unknown,5.802728226652675,4.0,4.51781172704902,953
2026-03,junior,6.906605222734255,6.0,5.630488389520132,3255
2026-03,mid,7.172025723472669,6.0,5.929075339051517,622
2026-03,senior,8.601549053356282,8.0,6.1267618062131035,18592
2026-03,unknown,8.77859778597786,7.0,6.402417581986075,1626
