technology,community_2024,community_2026
ai_agent_frameworks,10,1
ai_claude_api,5,1
ai_embeddings,3,1
ai_fine_tuning,3,1
ai_generative_ai,3,1
ai_huggingface,5,1
ai_langchain,3,1
ai_langgraph,11,1
ai_llm,3,1
ai_openai_api,5,1
ai_prompt_eng,3,1
ai_rag,3,1
be_django,7,6
be_dotnet,2,2
be_fastapi,7,6
be_flask,7,6
be_grpc,12,7
be_microservices,0,2
be_nodejs,2,3
be_rails,1,3
be_rest_api,13,2
be_spring,0,2
cloud_aws,0,0
cloud_azure,0,0
cloud_gcp,0,0
data_airflow,0,4
data_bigquery,0,4
data_cassandra,0,2
data_databricks,3,4
data_dbt,0,4
data_dynamodb,0,0
data_elasticsearch,0,2
data_etl,0,4
data_hadoop,0,4
data_kafka,0,2
data_mongodb,0,2
data_mysql,0,2
data_nosql,0,2
data_oracle_db,0,2
data_postgresql,0,2
data_rabbitmq,0,2
data_redis,0,2
data_snowflake,0,4
data_spark,0,4
data_sql_server,2,2
devops_ansible,1,0
devops_argocd,1,0
devops_cicd,1,0
devops_cloudformation,1,0
devops_datadog,1,0
devops_docker,1,0
devops_git,1,0
devops_github_actions,1,0
devops_grafana,1,0
devops_helm,1,0
devops_jenkins,1,0
devops_kubernetes,1,0
devops_linux,1,0
devops_prometheus,1,0
devops_splunk,1,0
devops_terraform,1,0
fe_angular,2,3
fe_bootstrap,2,3
fe_graphql,2,3
fe_html_css,2,3
fe_nextjs,2,3
fe_react,2,3
fe_react_native,4,5
fe_redux,2,3
fe_vue,2,3
fe_webpack,2,3
lang_bash_shell,1,0
lang_c_cpp,8,8
lang_go,1,9
lang_java,0,2
lang_javascript,2,3
lang_kotlin,4,5
lang_matlab,14,10
lang_perl,1,0
lang_php,2,11
lang_python,0,0
lang_ruby,1,3
lang_rust,15,12
lang_scala,0,4
lang_sql,0,4
lang_swift,4,5
lang_typescript,2,3
ml_computer_vision,8,1
ml_deep_learning,3,1
ml_machine_learning,3,1
ml_mlops,3,1
ml_nlp,3,1
ml_pandas,3,1
ml_pytorch,3,1
ml_scikit_learn,3,1
ml_tensorflow,3,1
mobile_android,4,5
mobile_ios,4,5
practice_agile,2,2
practice_devops,1,0
practice_kanban,2,2
practice_scrum,2,2
practice_sre,1,0
practice_tdd,2,2
security_devsecops,16,0
security_oauth,17,13
test_cypress,6,3
test_integration,18,2
test_jest,2,3
test_junit,6,2
test_playwright,6,3
test_selenium,6,3
test_unit_testing,8,2
tool_claude,5,1
tool_codex,9,1
tool_copilot,9,1
tool_gemini,1,1
