technology,base_diff_pp,no_aggregator_diff_pp,company_capped_diff_pp,within_2024_diff_pp,base_sign,robust
lang_python,15.43,19.48,18.26,0.7,rising,True
lang_java,1.84,4.35,1.76,0.1,rising,True
lang_javascript,-0.77,1.49,0.1,3.07,stable,True
lang_typescript,5.16,8.07,8.36,-1.08,rising,True
lang_go,-0.0,1.21,0.18,-1.03,stable,True
lang_rust,2.82,2.93,1.84,-0.31,rising,True
lang_c_cpp,-1.45,-0.89,-0.76,-0.25,declining,True
lang_csharp,-0.17,-0.21,-0.31,0.83,stable,True
lang_ruby,-0.4,0.03,-0.43,-0.68,stable,True
lang_kotlin,1.42,1.82,1.44,-0.2,rising,True
lang_swift,0.92,0.98,0.85,0.08,stable,True
lang_scala,-1.4,0.68,0.13,-0.93,declining,False
lang_php,-1.1,-1.43,-1.27,0.04,declining,True
lang_r,0.01,-0.01,-0.04,0.17,stable,True
lang_sql,-3.78,-2.1,-0.47,1.93,declining,False
lang_bash_shell,0.77,1.36,2.08,-0.57,stable,True
lang_perl,-0.55,-0.17,-0.48,-0.76,stable,True
lang_lua,-0.11,-0.11,-0.06,-0.03,stable,True
lang_dart,0.06,0.05,0.07,-0.06,stable,True
lang_elixir,-0.01,-0.04,-0.0,-0.13,stable,True
lang_haskell,0.06,0.05,0.05,-0.03,stable,True
lang_clojure,0.0,-0.02,0.0,0.09,stable,True
lang_matlab,-0.88,-1.21,-0.79,-1.65,stable,True
fe_react,5.05,5.44,4.92,1.04,rising,True
fe_angular,-0.98,-1.57,-1.76,1.04,stable,True
fe_vue,0.68,0.82,0.73,-0.19,stable,True
fe_nextjs,2.15,2.19,2.2,0.23,rising,True
fe_svelte,0.07,0.09,0.16,0.01,stable,True
fe_html_css,-3.6,-2.41,-3.18,2.56,declining,True
fe_sass_scss,-0.17,-0.37,-0.44,0.03,stable,True
fe_tailwind,0.66,0.62,0.63,0.11,stable,True
fe_bootstrap,-0.63,-0.96,-1.04,-0.16,stable,True
fe_webpack,-0.42,-0.3,-0.06,-0.15,stable,True
fe_vite,0.09,0.34,0.48,-0.31,stable,True
fe_redux,0.1,-0.21,0.12,0.43,stable,True
fe_graphql,2.24,2.48,2.18,-0.16,rising,True
fe_flutter,0.32,0.25,0.28,0.13,stable,True
fe_react_native,0.41,0.13,0.62,0.38,stable,True
fe_electron,0.21,0.28,0.18,-0.15,stable,True
be_nodejs,-0.49,0.96,1.36,-0.61,stable,True
be_django,0.71,0.47,0.55,0.58,stable,True
be_flask,0.41,0.14,0.36,0.53,stable,True
be_fastapi,2.04,1.96,2.24,0.29,rising,True
be_spring,1.73,0.24,0.51,3.02,rising,False
be_dotnet,-1.82,-3.26,-3.76,1.87,declining,True
be_rails,0.69,0.71,0.29,0.48,stable,True
be_express,-0.03,-0.13,-0.01,0.39,stable,True
be_grpc,1.38,1.43,1.06,0.12,rising,True
be_rest_api,0.11,-0.54,-0.11,1.73,stable,True
be_microservices,3.68,6.02,5.47,0.16,rising,True
cloud_aws,6.82,13.33,12.13,-1.26,rising,True
cloud_azure,3.69,8.09,6.4,1.21,rising,True
cloud_gcp,4.34,10.21,8.55,-2.61,rising,True
devops_kubernetes,5.45,10.17,10.13,-2.36,rising,True
devops_docker,2.84,7.29,8.27,-2.08,rising,True
devops_terraform,5.44,6.51,7.06,0.28,rising,True
devops_cicd,16.29,15.06,18.35,4.17,rising,True
devops_jenkins,1.46,0.6,1.47,1.46,rising,True
devops_github_actions,3.49,3.64,5.39,-0.69,rising,True
devops_argocd,1.25,1.12,1.08,-0.06,rising,True
devops_ansible,-0.26,-0.03,0.65,-0.14,stable,True
devops_helm,1.21,1.2,1.33,0.36,rising,True
devops_prometheus,2.36,2.59,2.7,0.34,rising,True
devops_grafana,2.94,2.99,2.97,0.42,rising,True
devops_datadog,1.81,1.89,1.9,0.63,rising,True
devops_splunk,0.4,0.54,0.26,0.23,stable,True
devops_nginx,-0.03,-0.12,-0.0,0.09,stable,True
devops_linux,-2.06,-2.01,-1.2,-5.95,declining,True
devops_git,6.46,3.65,8.36,1.82,rising,True
devops_cloudformation,2.01,2.06,2.23,-0.18,rising,True
data_postgresql,3.8,3.82,5.51,-0.25,rising,True
data_mysql,-0.78,0.3,0.04,-1.66,stable,True
data_mongodb,0.07,0.23,0.38,-0.48,stable,True
data_redis,0.8,1.43,1.46,-0.73,stable,True
data_kafka,2.33,3.59,3.51,-0.24,rising,True
data_spark,3.16,3.73,3.25,0.85,rising,True
data_snowflake,2.54,3.15,3.51,0.13,rising,True
data_databricks,3.07,3.21,2.94,0.54,rising,True
data_dbt,0.95,0.82,1.39,0.25,stable,True
data_elasticsearch,0.19,0.18,0.26,-0.06,stable,True
data_dynamodb,1.08,1.3,1.19,0.22,rising,True
data_cassandra,-1.22,0.26,-0.07,-1.4,declining,False
data_bigquery,1.14,0.95,1.29,0.74,rising,True
data_airflow,1.89,1.92,2.35,0.22,rising,True
data_rabbitmq,0.77,0.69,0.86,0.05,stable,True
data_etl,2.48,2.32,3.11,0.93,rising,True
data_hadoop,-0.96,0.21,-0.22,-0.93,stable,True
data_nosql,-1.36,2.76,1.76,-2.36,declining,False
data_oracle_db,-0.79,-1.82,-2.19,0.61,stable,True
data_sql_server,-1.52,-2.87,-2.56,0.95,declining,True
ml_tensorflow,1.88,2.73,2.31,-0.37,rising,True
ml_pytorch,3.28,3.91,3.2,0.2,rising,True
ml_scikit_learn,0.9,0.98,0.92,0.19,stable,True
ml_pandas,0.42,0.63,0.88,-0.18,stable,True
ml_numpy,0.09,0.35,0.43,-0.18,stable,True
