skill,rate_junior,rate_mid,rate_senior,chi2,p_value,n_junior,n_mid,n_senior,p_fdr,sig_fdr,junior_senior_diff
Tableau,1.5384615384615385,5.255878284923928,1.2953367875647668,139.8837433739291,4.213384297280009e-31,130,1446,21616,8.426768594560018e-29,True,0.24312475089677177
AWS,13.846153846153847,11.341632088520056,24.250555144337525,132.6927639270016,1.5350849681126715e-29,130,1446,21616,1.5350849681126714e-27,True,-10.404401298183679
Kubernetes,8.461538461538462,8.229598893499308,17.917283493708364,96.15569919618459,1.3184243571502849e-21,130,1446,21616,8.789495714335232e-20,True,-9.455745032169903
Docker,9.230769230769232,8.091286307053942,16.95503330866025,82.67710528163892,1.1140243874739902e-18,130,1446,21616,5.570121937369951e-17,True,-7.72426407789102
Go,3.076923076923077,3.872752420470263,9.779792746113989,61.77089039698989,3.860304643008569e-14,130,1446,21616,1.5441218572034276e-12,True,-6.702869669190912
React,4.615384615384616,4.356846473029045,10.080495928941524,54.574526513709785,1.410237118039541e-12,130,1446,21616,4.700790393465137e-11,True,-5.465111313556908
NoSQL,3.8461538461538463,2.4896265560165975,7.304774241302739,50.34826223652971,1.166846609524926e-11,130,1446,21616,3.333847455785502e-10,True,-3.4586203951488925
Scala,3.076923076923077,1.4522821576763485,5.657846039970392,48.44379548259892,3.0238724604025065e-11,130,1446,21616,7.559681151006266e-10,True,-2.5809229630473145
Open Source RDBMS,0.0,0.0,2.891376757957069,46.83012017475586,6.775925316740967e-11,130,1446,21616,1.5057611814979927e-09,True,-2.891376757957069
Software Engineering,11.538461538461538,7.053941908713693,12.920984455958548,42.63781234211393,5.512094945966537e-10,130,1446,21616,1.1024189891933074e-08,True,-1.3825229174970097
Agile,10.0,8.437067773167358,14.447631384159882,42.325722427292455,6.442970659532155e-10,130,1446,21616,1.1714492108240282e-08,True,-4.447631384159882
Agile practices,0.0,0.06915629322268327,2.4426350851221317,37.30630871209216,7.92570663351227e-09,130,1446,21616,1.3209511055853783e-07,True,-2.4426350851221317
HTML/CSS,0.0,0.2766251728907331,2.7572168763878606,36.56436887407709,1.1485454398850544e-08,130,1446,21616,1.766992984438545e-07,True,-2.7572168763878606
Attention to Detail,7.6923076923076925,2.904564315352697,1.7348260547742416,35.02695416163695,2.477385234729909e-08,130,1446,21616,3.5391217638998697e-07,True,5.957481637533451
Cassandra,0.0,0.4149377593360996,2.849740932642487,34.387095366365244,3.411435125814817e-08,130,1446,21616,4.54858016775309e-07,True,-2.849740932642487
Terraform,0.7692307692307693,3.38865836791148,6.897668393782383,34.178809504039954,3.785871047800067e-08,130,1446,21616,4.732338809750084e-07,True,-6.128437624551614
Java,33.84615384615385,21.300138312586444,27.988527017024428,32.887571585397154,7.220288793855763e-08,130,1446,21616,8.49445740453619e-07,True,5.857626829129419
Microsoft Azure,2.307692307692308,0.8298755186721992,3.6315692079940787,32.45515219508193,8.962996899126787e-08,130,1446,21616,9.958885443474207e-07,True,-1.3238769003017707
Cloud computing,1.5384615384615385,0.8990318118948823,3.5020355292376015,29.839856116693753,3.3140386865596446e-07,130,1446,21616,3.4884617753259417e-06,True,-1.963573990776063
Hadoop,3.076923076923077,1.1065006915629323,3.8813841598815695,29.403935740125412,4.121131579609508e-07,130,1446,21616,3.5835926779213113e-06,True,-0.8044610829584924
Node.js,1.5384615384615385,3.112033195020747,6.342524056254627,29.408591913730092,4.1115483871486526e-07,130,1446,21616,3.5835926779213113e-06,True,-4.8040625177930885
TypeScript,1.5384615384615385,3.872752420470263,7.230754996299038,29.484216774316618,3.9589833551163436e-07,130,1446,21616,3.5835926779213113e-06,True,-5.6922934578375
Google Cloud,0.7692307692307693,0.48409405255878285,2.766469282013323,29.49144767331482,3.9446956944493374e-07,130,1446,21616,3.5835926779213113e-06,True,-1.997238512782554
RDBMS,0.7692307692307693,0.48409405255878285,2.7525906735751295,29.271672100693163,4.40288320685829e-07,130,1446,21616,3.6690693390485752e-06,True,-1.9833599043443604
Open Source Frameworks,0.0,0.0,1.7949666913397482,28.7699943820159,5.658158353063594e-07,130,1446,21616,4.5265266824508754e-06,True,-1.7949666913397482
Python,38.46153846153847,27.869986168741356,34.63638045891932,28.59749445299956,6.167838327721126e-07,130,1446,21616,4.744491021323943e-06,True,3.8251580026191476
Microservices,5.384615384615385,3.872752420470263,7.517579570688379,27.37469662191389,1.1367374199805907e-06,130,1446,21616,8.420277185041412e-06,True,-2.1329641860729938
Software engineering,3.076923076923077,1.7980636237897647,4.672464840858623,26.748530033670246,1.554642384127525e-06,130,1446,21616,1.0721671614672587e-05,True,-1.5955417639355463
Cloud Computing,4.615384615384616,3.319502074688797,6.7357512953367875,26.758040693561416,1.547267096504863e-06,130,1446,21616,1.0721671614672587e-05,True,-2.1203666799521717
Open source frameworks,0.0,0.0,1.6608068097705404,26.585850345878605,1.6863819651615702e-06,130,1446,21616,1.1242546434410468e-05,True,-1.6608068097705404
Kafka,5.384615384615385,2.835408022130014,6.046447076239822,25.45265334710174,2.971847711363909e-06,130,1446,21616,1.9173211041057477e-05,True,-0.6618316916244371
NoSQL databases,0.0,0.4149377593360996,2.248334566987417,24.77392938475646,4.172627217426173e-06,130,1446,21616,2.6078920108913583e-05,True,-2.248334566987417
DevOps,9.230769230769232,7.192254495159059,11.306439674315321,23.796925218837448,6.800852340685255e-06,130,1446,21616,4.1217286913243965e-05,True,-2.0756704435460893
Scalability,0.0,1.2448132780082988,3.340118430792006,23.57215705578109,7.609763014593123e-06,130,1446,21616,4.476331185054778e-05,True,-3.340118430792006
