period,group,n,n_llm_labeled,kitchen_sink_mean,aspiration_count_mean,aspiration_ratio_mean_finite,ai_strict_pct,ai_broad_pct,llm_inflated_pct,llm_ghost_likely_pct,llm_inflated_or_ghost_pct,rule_medium_pct,rule_high_pct,yoe_mismatch_pct
2024,aggregator,3373,855,3.48,0.52,0.214,1.01,7.14,7.49,0.585,8.07,0.059,0.03,0.06
2024,direct,19447,7252,2.84,0.69,0.295,0.78,7.15,7.07,0.345,7.42,0.098,0.051,0.11
2026,aggregator,6800,1434,8.73,1.47,0.746,13.88,39.78,8.93,0.209,9.14,0.088,0.044,0.56
2026,direct,34081,5484,12.5,1.61,0.776,13.98,48.22,6.09,0.274,6.36,0.059,0.029,0.6
