panel,period,exclusion,n,n_llm_labeled,kitchen_sink_mean,kitchen_sink_p90,aspiration_count_mean,aspiration_ratio_mean_finite,llm_inflated_rate_pct,llm_ghost_likely_rate_pct,llm_inflated_or_ghost_pct,rule_medium_pct,rule_high_pct,yoe_mismatch_pct,credential_contradiction_pct,ai_strict_pct,ai_broad_pct
J1,2024,none,379,175,1.75,6.0,0.65,0.311,15.43,0.57,16.0,5.541,2.902,6.33,0.264,0.79,7.12
J1,2024,specialists_excluded,341,155,1.81,6.0,0.64,0.311,16.13,0.65,16.77,5.865,2.933,6.74,0.293,0.88,7.04
J2,2024,none,418,214,1.81,6.0,0.63,0.306,17.29,0.47,17.76,5.024,2.632,5.74,0.239,0.72,6.94
J2,2024,specialists_excluded,377,191,1.84,6.0,0.62,0.305,17.8,0.52,18.32,5.305,2.653,6.1,0.265,0.8,6.9
J3,2024,none,1766,878,2.63,8.0,0.73,0.309,5.01,0.11,5.13,0.0,0.0,0.23,0.0,0.85,8.95
J3,2024,specialists_excluded,1535,783,2.38,8.0,0.73,0.31,4.98,0.0,4.98,0.0,0.0,0.26,0.0,0.91,8.6
J4,2024,none,4035,1937,2.65,8.0,0.74,0.323,5.01,0.05,5.06,0.372,0.0,0.1,0.0,1.04,8.2
J4,2024,specialists_excluded,3489,1645,2.6,8.0,0.77,0.339,5.11,0.0,5.11,0.401,0.0,0.11,0.0,1.0,7.82
S1,2024,none,13595,1374,3.67,12.0,0.68,0.282,7.28,0.15,7.42,0.0,0.0,,0.0,0.88,7.5
S1,2024,specialists_excluded,13007,1333,3.61,12.0,0.69,0.286,7.28,0.15,7.43,0.0,0.0,,0.0,0.88,7.31
S2,2024,none,105,15,5.0,14.0,0.56,0.202,13.33,0.0,13.33,0.0,0.0,,0.0,0.0,5.71
S2,2024,specialists_excluded,103,15,4.81,13.6,0.56,0.201,13.33,0.0,13.33,0.0,0.0,,0.0,0.0,4.85
S3,2024,none,12941,579,3.72,12.0,0.69,0.284,5.53,0.35,5.87,0.0,0.0,,0.0,0.9,7.6
S3,2024,specialists_excluded,12376,563,3.66,12.0,0.69,0.288,5.68,0.36,6.04,0.0,0.0,,0.0,0.9,7.4
S4,2024,none,10279,2827,3.18,10.0,0.72,0.292,12.03,0.21,12.24,0.0,0.107,,0.01,0.7,6.58
S4,2024,specialists_excluded,10040,2789,3.15,10.0,0.72,0.295,12.05,0.18,12.23,0.0,0.1,,0.01,0.71,6.47
J1,2026,none,1275,273,5.98,18.0,1.63,0.789,8.79,0.73,9.52,2.039,1.02,18.9,0.0,11.76,44.08
J1,2026,specialists_excluded,1041,211,6.18,18.0,1.74,0.819,10.43,0.95,11.37,2.498,1.153,19.6,0.0,13.45,43.42
J2,2026,none,1327,325,5.91,16.0,1.61,0.781,9.54,0.62,10.15,1.959,0.98,18.16,0.0,11.91,43.48
J2,2026,specialists_excluded,1089,259,6.1,18.0,1.71,0.81,11.2,0.77,11.97,2.388,1.102,18.73,0.0,13.59,42.7
J3,2026,none,4742,1111,10.21,28.0,1.81,0.824,4.68,0.0,4.68,0.0,0.0,0.82,0.0,12.76,47.32
J3,2026,specialists_excluded,3530,860,10.16,28.0,1.74,0.767,4.19,0.0,4.19,0.0,0.0,0.93,0.0,14.28,44.11
J4,2026,none,9307,2138,10.43,28.0,1.78,0.853,4.26,0.05,4.3,0.193,0.0,0.5,0.0,13.26,48.87
J4,2026,specialists_excluded,7018,1643,10.56,28.0,1.77,0.813,4.2,0.06,4.26,0.256,0.0,0.58,0.0,14.56,46.28
S1,2026,none,17713,917,16.17,42.0,1.53,0.739,8.72,0.22,8.94,0.0,0.0,,0.0,15.31,51.4
S1,2026,specialists_excluded,16219,863,16.31,42.0,1.5,0.728,8.46,0.23,8.69,0.0,0.0,,0.0,15.43,50.54
S2,2026,none,295,25,26.91,67.2,1.55,0.642,24.0,0.0,24.0,0.0,0.0,,0.0,21.36,56.95
S2,2026,specialists_excluded,284,24,25.77,66.0,1.56,0.65,25.0,0.0,25.0,0.0,0.0,,0.0,21.13,55.63
S3,2026,none,17289,194,16.65,44.0,1.57,0.752,7.22,0.0,7.22,0.0,0.0,,0.0,15.26,51.78
S3,2026,specialists_excluded,15835,183,16.81,44.0,1.54,0.741,7.65,0.0,7.65,0.0,0.0,,0.0,15.38,50.99
S4,2026,none,15938,1925,15.04,40.0,1.62,0.77,12.57,0.42,12.99,0.0,0.082,,0.0,14.01,46.19
S4,2026,specialists_excluded,15339,1871,15.17,40.0,1.63,0.766,12.67,0.43,13.09,0.0,0.078,,0.0,13.93,45.65
