source,total,ok_n,too_short_n,empty_n,gt_15k_n,lt_100_n,p1_length,p99_length,avg_length,median_length
kaggle_arshkon,118165,117966.0,199.0,0.0,111.0,112.0,359.0,9986.0,3773.0,3443.0
kaggle_asaniczka,1014752,1014554.0,198.0,0.0,3103.0,91.0,535.0,11968.0,3909.0,3470.0
scraped,26576,26575.0,1.0,0.0,79.0,1.0,897.0,12054.0,5331.0,5106.0
