source,subset,column_name,total_n,non_null_n,non_null_rate,null_rate,distinct_count
kaggle_arshkon,all,asaniczka_skills,110360,0,0.0,1.0,0
kaggle_arshkon,all,posting_age_days,110360,0,0.0,1.0,0
kaggle_arshkon,all,query_tier,110360,0,0.0,1.0,0
kaggle_arshkon,all,scrape_date,110360,0,0.0,1.0,0
kaggle_arshkon,all,scrape_week,110360,0,0.0,1.0,0
kaggle_arshkon,all,search_location,110360,0,0.0,1.0,0
kaggle_arshkon,all,search_metro_id,110360,0,0.0,1.0,0
kaggle_arshkon,all,search_metro_name,110360,0,0.0,1.0,0
kaggle_arshkon,all,search_metro_region,110360,0,0.0,1.0,0
kaggle_arshkon,all,search_query,110360,0,0.0,1.0,0
kaggle_arshkon,all,llm_text_skip_reason,110360,116,0.001051105472997463,0.9989488945270025,1
kaggle_arshkon,all,real_employer,110360,317,0.0028724175425878943,0.9971275824574121,224
kaggle_arshkon,all,skills_raw,110360,2097,0.01900144980065241,0.9809985501993476,1956
kaggle_arshkon,all,yoe_min_years_llm,110360,5738,0.051993475897064156,0.9480065241029358,19
kaggle_arshkon,all,ghost_assessment_llm,110360,8963,0.08121602029720913,0.9187839797027909,3
kaggle_arshkon,all,llm_model_classification,110360,8963,0.08121602029720913,0.9187839797027909,1
kaggle_arshkon,all,llm_prompt_version_classification,110360,8963,0.08121602029720913,0.9187839797027909,1
kaggle_arshkon,all,swe_classification_llm,110360,8963,0.08121602029720913,0.9187839797027909,3
kaggle_arshkon,all,description_core_llm,110360,14166,0.12836172526277637,0.8716382747372237,13751
kaggle_arshkon,all,analysis_group,110360,15701,0.1422707502718376,0.8577292497281623,3
kaggle_arshkon,all,yoe_extracted,110360,49530,0.4488039144617615,0.5511960855382385,20
kaggle_arshkon,all,yoe_max_extracted,110360,49530,0.4488039144617615,0.5511960855382385,20
kaggle_arshkon,all,yoe_min_extracted,110360,49530,0.4488039144617615,0.5511960855382385,20
kaggle_asaniczka,all,company_id_kaggle,847526,0,0.0,1.0,0
kaggle_asaniczka,all,company_industry,847526,0,0.0,1.0,0
kaggle_asaniczka,all,company_size,847526,0,0.0,1.0,0
kaggle_asaniczka,all,company_size_category,847526,0,0.0,1.0,0
kaggle_asaniczka,all,company_size_raw,847526,0,0.0,1.0,0
kaggle_asaniczka,all,posting_age_days,847526,0,0.0,1.0,0
kaggle_asaniczka,all,query_tier,847526,0,0.0,1.0,0
kaggle_asaniczka,all,scrape_date,847526,0,0.0,1.0,0
kaggle_asaniczka,all,scrape_week,847526,0,0.0,1.0,0
kaggle_asaniczka,all,search_location,847526,0,0.0,1.0,0
kaggle_asaniczka,all,search_metro_id,847526,0,0.0,1.0,0
kaggle_asaniczka,all,search_metro_region,847526,0,0.0,1.0,0
kaggle_asaniczka,all,work_type,847526,0,0.0,1.0,0
kaggle_asaniczka,all,llm_text_skip_reason,847526,130,0.0001533876246864403,0.9998466123753136,1
kaggle_asaniczka,all,yoe_min_years_llm,847526,7652,0.009028631570004933,0.9909713684299951,20
kaggle_asaniczka,all,ghost_assessment_llm,847526,10821,0.012767749897938234,0.9872322501020617,3
kaggle_asaniczka,all,llm_model_classification,847526,10821,0.012767749897938234,0.9872322501020617,1
kaggle_asaniczka,all,llm_prompt_version_classification,847526,10821,0.012767749897938234,0.9872322501020617,1
kaggle_asaniczka,all,swe_classification_llm,847526,10821,0.012767749897938234,0.9872322501020617,3
kaggle_asaniczka,all,real_employer,847526,16263,0.01918879184827368,0.9808112081517263,1081
kaggle_asaniczka,all,description_core_llm,847526,41817,0.04934007924240672,0.9506599207575933,40842
kaggle_asaniczka,all,analysis_group,847526,132890,0.1567975495737004,0.8432024504262996,3
kaggle_asaniczka,all,yoe_extracted,847526,393364,0.46413207382428384,0.5358679261757162,20
kaggle_asaniczka,all,yoe_max_extracted,847526,393364,0.46413207382428384,0.5358679261757162,20
kaggle_asaniczka,all,yoe_min_extracted,847526,393364,0.46413207382428384,0.5358679261757162,20
scraped,all,asaniczka_skills,228395,0,0.0,1.0,0
scraped,all,company_id_kaggle,228395,0,0.0,1.0,0
scraped,all,company_size,228395,0,0.0,1.0,0
scraped,all,company_size_category,228395,0,0.0,1.0,0
scraped,all,company_size_raw,228395,0,0.0,1.0,0
scraped,all,skills_raw,228395,0,0.0,1.0,0
scraped,all,llm_text_skip_reason,228395,18,7.88108321110357e-05,0.999921189167889,1
scraped,all,date_posted,228395,3156,0.013818165896801593,0.9861818341031984,22
scraped,all,posting_age_days,228395,3156,0.013818165896801593,0.9861818341031984,2
scraped,all,real_employer,228395,8164,0.03574509074191642,0.9642549092580835,1983
scraped,all,yoe_min_years_llm,228395,8890,0.03892379430372819,0.9610762056962718,19
scraped,all,ghost_assessment_llm,228395,12178,0.053319906302677376,0.9466800936973226,3
scraped,all,llm_model_classification,228395,12178,0.053319906302677376,0.9466800936973226,1
scraped,all,llm_prompt_version_classification,228395,12178,0.053319906302677376,0.9466800936973226,1
scraped,all,swe_classification_llm,228395,12178,0.053319906302677376,0.9466800936973226,3
scraped,all,description_core_llm,228395,18501,0.08100440027145954,0.9189955997285405,18352
scraped,all,analysis_group,228395,84927,0.37184264103855164,0.6281573589614484,3
