source,company_industry_compound_like_n,company_industry_non_null_n,company_size_category_non_null_n,company_id_kaggle_non_null_n,company_industry_compound_like_rate
kaggle_arshkon,3652,108866,104351,108694,0.03354582697995701
kaggle_asaniczka,0,0,0,0,
scraped,32623,228341,0,0,0.14286965547142214
