column,source,platform,total,non_null,non_null_pct
uid,kaggle_arshkon,linkedin,5019,5019,100.0
uid,kaggle_asaniczka,linkedin,23213,23213,100.0
uid,scraped,linkedin,24095,24095,100.0
job_id,kaggle_arshkon,linkedin,5019,5019,100.0
job_id,kaggle_asaniczka,linkedin,23213,23213,100.0
job_id,scraped,linkedin,24095,24095,100.0
source,kaggle_arshkon,linkedin,5019,5019,100.0
source,kaggle_asaniczka,linkedin,23213,23213,100.0
source,scraped,linkedin,24095,24095,100.0
source_platform,kaggle_arshkon,linkedin,5019,5019,100.0
source_platform,kaggle_asaniczka,linkedin,23213,23213,100.0
source_platform,scraped,linkedin,24095,24095,100.0
site,kaggle_arshkon,linkedin,5019,5019,100.0
site,kaggle_asaniczka,linkedin,23213,23213,100.0
site,scraped,linkedin,24095,24095,100.0
title,kaggle_arshkon,linkedin,5019,5019,100.0
title,kaggle_asaniczka,linkedin,23213,23213,100.0
title,scraped,linkedin,24095,24095,100.0
title_normalized,kaggle_arshkon,linkedin,5019,5019,100.0
title_normalized,kaggle_asaniczka,linkedin,23213,23213,100.0
title_normalized,scraped,linkedin,24095,24095,100.0
company_name,kaggle_arshkon,linkedin,5019,4974,99.1
company_name,kaggle_asaniczka,linkedin,23213,23213,100.0
company_name,scraped,linkedin,24095,24095,100.0
company_name_normalized,kaggle_arshkon,linkedin,5019,4974,99.1
company_name_normalized,kaggle_asaniczka,linkedin,23213,23213,100.0
company_name_normalized,scraped,linkedin,24095,24095,100.0
location,kaggle_arshkon,linkedin,5019,5019,100.0
location,kaggle_asaniczka,linkedin,23213,23212,100.0
location,scraped,linkedin,24095,23093,95.84
date_posted,kaggle_arshkon,linkedin,5019,5019,100.0
date_posted,kaggle_asaniczka,linkedin,23213,23213,100.0
date_posted,scraped,linkedin,24095,179,0.74
scrape_date,kaggle_arshkon,linkedin,5019,0,0.0
scrape_date,kaggle_asaniczka,linkedin,23213,0,0.0
scrape_date,scraped,linkedin,24095,24095,100.0
description,kaggle_arshkon,linkedin,5019,5019,100.0
description,kaggle_asaniczka,linkedin,23213,23213,100.0
description,scraped,linkedin,24095,24095,100.0
description_raw,kaggle_arshkon,linkedin,5019,5019,100.0
description_raw,kaggle_asaniczka,linkedin,23213,23213,100.0
description_raw,scraped,linkedin,24095,24095,100.0
description_length,kaggle_arshkon,linkedin,5019,5019,100.0
description_length,kaggle_asaniczka,linkedin,23213,23213,100.0
description_length,scraped,linkedin,24095,24095,100.0
