source,seniority_native,count
kaggle_arshkon,mid-senior,2344
kaggle_arshkon,,1575
kaggle_arshkon,entry,769
kaggle_arshkon,associate,275
kaggle_arshkon,director,25
kaggle_arshkon,intern,20
kaggle_arshkon,executive,11
kaggle_asaniczka,mid-senior,21199
kaggle_asaniczka,associate,2014
scraped,mid-senior,15605
scraped,,4199
scraped,entry,2789
scraped,associate,795
scraped,intern,429
scraped,director,241
scraped,executive,37
