analysis_field,analysis_label,source,effective_n,total_n,coverage_pct
description_core,Text analysis (rule-based),kaggle_arshkon,5019,5019,100.0
description_core,Text analysis (rule-based),kaggle_asaniczka,23213,23213,100.0
description_core,Text analysis (rule-based),scraped,24095,24095,100.0
description_core_llm,Text analysis (LLM-cleaned),kaggle_arshkon,4981,5019,99.24
description_core_llm,Text analysis (LLM-cleaned),kaggle_asaniczka,18834,23213,81.14
seniority_final,Seniority (non-unknown),kaggle_arshkon,4066,5019,81.01
seniority_final,Seniority (non-unknown),kaggle_asaniczka,23213,23213,100.0
seniority_final,Seniority (non-unknown),scraped,22469,24095,93.25
yoe_extracted,YOE extraction,kaggle_arshkon,3040,5019,60.57
yoe_extracted,YOE extraction,kaggle_asaniczka,16755,23213,72.18
yoe_extracted,YOE extraction,scraped,16525,24095,68.58
metro_area,Geographic analysis,kaggle_arshkon,3065,5019,61.07
metro_area,Geographic analysis,kaggle_asaniczka,16944,23213,72.99
metro_area,Geographic analysis,scraped,18657,24095,77.43
company_industry,Company industry,kaggle_arshkon,4981,5019,99.24
company_industry,Company industry,scraped,24090,24095,99.98
company_name_canonical,Company-level analysis,kaggle_arshkon,4974,5019,99.1
company_name_canonical,Company-level analysis,kaggle_asaniczka,23213,23213,100.0
company_name_canonical,Company-level analysis,scraped,24095,24095,100.0
ghost_job_risk,Ghost job detection,kaggle_arshkon,5019,5019,100.0
ghost_job_risk,Ghost job detection,kaggle_asaniczka,23213,23213,100.0
ghost_job_risk,Ghost job detection,scraped,24095,24095,100.0
company_size,Company size,kaggle_arshkon,4974,5019,99.1
skills_raw,Skills analysis,kaggle_arshkon,67,5019,1.33
skills_raw,Skills analysis,kaggle_asaniczka,23192,23213,99.91
is_remote_inferred,Remote work,kaggle_arshkon,5019,5019,100.0
is_remote_inferred,Remote work,kaggle_asaniczka,23213,23213,100.0
is_remote_inferred,Remote work,scraped,24095,24095,100.0
