column,source,platform,total,non_null,non_null_pct
uid,kaggle_arshkon,linkedin,118100,118100,100.0
uid,kaggle_asaniczka,linkedin,1058779,1058779,100.0
uid,scraped,indeed,73328,73328,100.0
uid,scraped,linkedin,145583,145583,100.0
job_id,kaggle_arshkon,linkedin,118100,118100,100.0
job_id,kaggle_asaniczka,linkedin,1058779,1058779,100.0
job_id,scraped,indeed,73328,73328,100.0
job_id,scraped,linkedin,145583,145583,100.0
source,kaggle_arshkon,linkedin,118100,118100,100.0
source,kaggle_asaniczka,linkedin,1058779,1058779,100.0
source,scraped,indeed,73328,73328,100.0
source,scraped,linkedin,145583,145583,100.0
source_platform,kaggle_arshkon,linkedin,118100,118100,100.0
source_platform,kaggle_asaniczka,linkedin,1058779,1058779,100.0
source_platform,scraped,indeed,73328,73328,100.0
source_platform,scraped,linkedin,145583,145583,100.0
site,kaggle_arshkon,linkedin,118100,118100,100.0
site,kaggle_asaniczka,linkedin,1058779,1058779,100.0
site,scraped,indeed,73328,73328,100.0
site,scraped,linkedin,145583,145583,100.0
title,kaggle_arshkon,linkedin,118100,118100,100.0
title,kaggle_asaniczka,linkedin,1058779,1058779,100.0
title,scraped,indeed,73328,73328,100.0
title,scraped,linkedin,145583,145583,100.0
title_normalized,kaggle_arshkon,linkedin,118100,118100,100.0
title_normalized,kaggle_asaniczka,linkedin,1058779,1058779,100.0
title_normalized,scraped,indeed,73328,73328,100.0
title_normalized,scraped,linkedin,145583,145583,100.0
company_name,kaggle_arshkon,linkedin,118100,116388,98.55
company_name,kaggle_asaniczka,linkedin,1058779,1058773,100.0
company_name,scraped,indeed,73328,69707,95.06
company_name,scraped,linkedin,145583,145583,100.0
company_name_normalized,kaggle_arshkon,linkedin,118100,116388,98.55
company_name_normalized,kaggle_asaniczka,linkedin,1058779,1058773,100.0
company_name_normalized,scraped,indeed,73328,69707,95.06
company_name_normalized,scraped,linkedin,145583,145583,100.0
location,kaggle_arshkon,linkedin,118100,118100,100.0
location,kaggle_asaniczka,linkedin,1058779,1058766,100.0
location,scraped,indeed,73328,73328,100.0
location,scraped,linkedin,145583,140589,96.57
date_posted,kaggle_arshkon,linkedin,118100,118100,100.0
date_posted,kaggle_asaniczka,linkedin,1058779,1058779,100.0
date_posted,scraped,indeed,73328,73328,100.0
date_posted,scraped,linkedin,145583,1972,1.35
scrape_date,kaggle_arshkon,linkedin,118100,0,0.0
scrape_date,kaggle_asaniczka,linkedin,1058779,0,0.0
scrape_date,scraped,indeed,73328,73328,100.0
scrape_date,scraped,linkedin,145583,145583,100.0
description,kaggle_arshkon,linkedin,118100,118093,99.99
description,kaggle_asaniczka,linkedin,1058779,1015671,95.93
description,scraped,indeed,73328,73328,100.0
description,scraped,linkedin,145583,145580,100.0
description_raw,kaggle_arshkon,linkedin,118100,118093,99.99
description_raw,kaggle_asaniczka,linkedin,1058779,1015671,95.93
description_raw,scraped,indeed,73328,73328,100.0
description_raw,scraped,linkedin,145583,145580,100.0
description_length,kaggle_arshkon,linkedin,118100,118100,100.0
description_length,kaggle_asaniczka,linkedin,1058779,1058779,100.0
description_length,scraped,indeed,73328,73328,100.0
description_length,scraped,linkedin,145583,145583,100.0
seniority_raw,kaggle_arshkon,linkedin,118100,89759,76.0
seniority_raw,kaggle_asaniczka,linkedin,1058779,1058779,100.0
seniority_raw,scraped,indeed,73328,0,0.0
seniority_raw,scraped,linkedin,145583,145580,100.0
seniority_native,kaggle_arshkon,linkedin,118100,89759,76.0
seniority_native,kaggle_asaniczka,linkedin,1058779,1058779,100.0
seniority_native,scraped,indeed,73328,0,0.0
seniority_native,scraped,linkedin,145583,124618,85.6
company_industry,kaggle_arshkon,linkedin,118100,116568,98.7
company_industry,kaggle_asaniczka,linkedin,1058779,0,0.0
company_industry,scraped,indeed,73328,17176,23.42
company_industry,scraped,linkedin,145583,145553,99.98
company_size,kaggle_arshkon,linkedin,118100,116389,98.55
company_size,kaggle_asaniczka,linkedin,1058779,0,0.0
company_size,scraped,indeed,73328,51956,70.85
company_size,scraped,linkedin,145583,0,0.0
company_size_raw,kaggle_arshkon,linkedin,118100,116389,98.55
company_size_raw,kaggle_asaniczka,linkedin,1058779,0,0.0
company_size_raw,scraped,indeed,73328,55621,75.85
company_size_raw,scraped,linkedin,145583,0,0.0
company_size_category,kaggle_arshkon,linkedin,118100,111702,94.58
company_size_category,kaggle_asaniczka,linkedin,1058779,0,0.0
company_size_category,scraped,indeed,73328,0,0.0
