company_name_canonical,n,share_pct,cum_share_pct
Recruiting from Scratch,1699,7.32,7.32
Capital One,1679,7.23,14.55
ClearanceJobs,920,3.96,18.51
ClickJobs.io,483,2.08,20.59
Northrop Grumman,293,1.26,21.85
Epic,281,1.21,23.06
We are deploying software-defined,196,0.84,23.9
Commitment Full-time,189,0.81,24.71
Jobs for Humanity,181,0.78,25.49
Raytheon,179,0.77,26.26
Walmart,167,0.72,26.98
BLUE ORIGIN,146,0.63,27.61
Syrinx Consulting,135,0.58,28.19
Amazon,132,0.57,28.76
"Syms Strategic Group, LLC (SSG)",118,0.51,29.27
Latitude Inc,108,0.47,29.74
Palo Alto Networks,102,0.44,30.18
Kforce Inc,99,0.43,30.61
Cloudflare,95,0.41,31.02
CyberCoders,95,0.41,31.43
Amazon Web Services (AWS),87,0.37,31.8
Intellectt Inc,86,0.37,32.17
Lockheed Martin,86,0.37,32.54
SimVentions,85,0.37,32.91
Motion Recruitment,84,0.36,33.27
NVIDIA,80,0.34,33.61
Diverse Lynx,79,0.34,33.95
MindPal,79,0.34,34.29
Discover Financial Services,76,0.33,34.62
Tesla,75,0.32,34.94
Experfy,71,0.31,35.25
Steneral Consulting,71,0.31,35.56
"Conch Technologies, Inc",69,0.3,35.86
L3Harris Technologies,69,0.3,36.16
Collins Aerospace,69,0.3,36.46
Energy Jobline,69,0.3,36.76
Jobot,69,0.3,37.06
Accroid Inc,65,0.28,37.34
"Mission Technologies, a division of HII",64,0.28,37.62
PricewaterhouseCoopers,63,0.27,37.89
KPMG US,63,0.27,38.16
HDR,61,0.26,38.42
NR Consulting,61,0.26,38.68
Leidos,61,0.26,38.94
FIS,59,0.25,39.19
iTech Solutions,59,0.25,39.44
Dice,58,0.25,39.69
TekIntegral,56,0.24,39.93
Abbott,54,0.23,40.16
Anduril Industries,54,0.23,40.39
