source,is_aggregator,n,pct_of_source,mean_description_length,entry_pct_of_known,n_known_seniority
kaggle_arshkon,True,591,10.62,2439.0,42.76,449
kaggle_arshkon,False,4428,89.02,3433.0,17.64,3617
kaggle_asaniczka,True,6340,21.45,4411.0,0.19,6340
kaggle_asaniczka,False,16873,72.69,3917.0,0.7,16873
scraped,True,3517,12.74,4135.0,26.73,3430
scraped,False,20578,85.4,5386.0,12.28,19039
