company_name_canonical,source,junior,mid,senior,total,junior_pct,mid_pct,senior_pct
Actalent,kaggle_arshkon,19.0,0.0,4.0,23.0,82.6,0.0,17.4
Actalent,scraped,45.0,0.0,82.0,127.0,35.4,0.0,64.6
Affirm,kaggle_arshkon,0.0,0.0,2.0,2.0,0.0,0.0,100.0
Affirm,scraped,0.0,0.0,192.0,192.0,0.0,0.0,100.0
Amazon,kaggle_arshkon,0.0,5.0,23.0,28.0,0.0,17.9,82.1
Amazon,scraped,26.0,15.0,138.0,179.0,14.5,8.4,77.1
Amazon Web Services (AWS),kaggle_arshkon,0.0,0.0,12.0,12.0,0.0,0.0,100.0
Amazon Web Services (AWS),scraped,0.0,2.0,158.0,160.0,0.0,1.2,98.8
Anduril Industries,kaggle_arshkon,3.0,0.0,2.0,5.0,60.0,0.0,40.0
Anduril Industries,scraped,18.0,0.0,137.0,155.0,11.6,0.0,88.4
Apex Systems,kaggle_arshkon,19.0,1.0,32.0,52.0,36.5,1.9,61.5
Apex Systems,scraped,17.0,0.0,69.0,86.0,19.8,0.0,80.2
Booz Allen Hamilton,kaggle_arshkon,0.0,0.0,5.0,5.0,0.0,0.0,100.0
Booz Allen Hamilton,scraped,2.0,0.0,72.0,74.0,2.7,0.0,97.3
Capital One,kaggle_arshkon,11.0,0.0,104.0,115.0,9.6,0.0,90.4
Capital One,scraped,5.0,0.0,171.0,176.0,2.8,0.0,97.2
DataAnnotation,kaggle_arshkon,0.0,0.0,33.0,33.0,0.0,0.0,100.0
DataAnnotation,scraped,38.0,0.0,0.0,38.0,100.0,0.0,0.0
Deloitte,kaggle_arshkon,1.0,0.0,13.0,14.0,7.1,0.0,92.9
Deloitte,scraped,0.0,4.0,137.0,141.0,0.0,2.8,97.2
GEICO,kaggle_arshkon,0.0,0.0,1.0,1.0,0.0,0.0,100.0
GEICO,scraped,0.0,0.0,117.0,117.0,0.0,0.0,100.0
General Motors,kaggle_arshkon,1.0,0.0,9.0,10.0,10.0,0.0,90.0
General Motors,scraped,17.0,0.0,126.0,143.0,11.9,0.0,88.1
Google,kaggle_arshkon,0.0,0.0,13.0,13.0,0.0,0.0,100.0
Google,scraped,17.0,2.0,399.0,418.0,4.1,0.5,95.5
JPMorgan Chase & Co.,kaggle_arshkon,0.0,1.0,5.0,6.0,0.0,16.7,83.3
JPMorgan Chase & Co.,scraped,0.0,2.0,421.0,423.0,0.0,0.5,99.5
Leidos,kaggle_arshkon,15.0,0.0,1.0,16.0,93.8,0.0,6.2
Leidos,scraped,45.0,0.0,177.0,222.0,20.3,0.0,79.7
Meta,kaggle_arshkon,0.0,0.0,2.0,2.0,0.0,0.0,100.0
Meta,scraped,0.0,0.0,35.0,35.0,0.0,0.0,100.0
Microsoft,kaggle_arshkon,0.0,1.0,14.0,15.0,0.0,6.7,93.3
Microsoft,scraped,3.0,0.0,125.0,128.0,2.3,0.0,97.7
Motion Recruitment,kaggle_arshkon,0.0,0.0,42.0,42.0,0.0,0.0,100.0
Motion Recruitment,scraped,9.0,0.0,90.0,99.0,9.1,0.0,90.9
TikTok,kaggle_arshkon,1.0,0.0,4.0,5.0,20.0,0.0,80.0
TikTok,scraped,93.0,2.0,11.0,106.0,87.7,1.9,10.4
Wells Fargo,kaggle_arshkon,0.0,0.0,16.0,16.0,0.0,0.0,100.0
Wells Fargo,scraped,7.0,10.0,145.0,162.0,4.3,6.2,89.5
