company_industry,n_postings,n_companies
Software Development,4282,1062
IT Services and IT Consulting,1111,431
"Technology, Information and Internet",951,226
Financial Services,739,221
Defense and Space Manufacturing,346,105
Staffing and Recruiting,285,95
"Accounting, Financial Services, and Business Consulting and Services",236,2
Hospitals and Health Care,207,123
Business Consulting and Services,160,71
Internet Publishing,155,63
Research Services,142,10
Aviation and Aerospace Component Manufacturing,138,34
"Technology, Information and Media",127,54
Medical Equipment Manufacturing,120,53
Telecommunications,115,42
"Software Development, Financial Services, and Technology, Information and Internet",114,3
Insurance,112,67
Information Technology & Services,97,55
Entertainment Providers,97,23
"Appliances, Electrical, and Electronics Manufacturing",88,48
