source,is_aggregator,n,mean_desc_len,mean_core_len,mean_yoe
kaggle_arshkon,False,4428,3432.757452574526,2836.6129177958446,5.183184257602862
kaggle_arshkon,True,591,2439.4788494077834,2003.0642978003384,5.351020408163265
kaggle_asaniczka,False,16873,3917.4050850471167,2860.792686540627,5.713553913335573
kaggle_asaniczka,True,6340,4410.926498422713,2257.884069400631,5.269238704353208
scraped,False,20578,5385.663961512295,4467.511322771892,4.936530907587348
scraped,True,3517,4135.00796133068,3414.6951947682683,5.155908639523337
