company_name_canonical,n,share_pct,cum_share_pct
Jobs via Dice,903,3.75,3.75
Google,520,2.16,5.91
JPMorgan Chase & Co.,479,1.99,7.9
Deloitte,345,1.43,9.33
PricewaterhouseCoopers,235,0.98,10.31
Leidos,226,0.94,11.25
Amazon,205,0.85,12.1
Meta,205,0.85,12.95
Amazon Web Services (AWS),204,0.85,13.8
Booz Allen Hamilton,198,0.82,14.62
Affirm,192,0.8,15.42
YO IT Consulting,191,0.79,16.21
Capital One,176,0.73,16.94
"Scribd, Inc.",174,0.72,17.66
Epic,163,0.68,18.34
Wells Fargo,162,0.67,19.01
General Motors,155,0.64,19.65
Anduril Industries,155,0.64,20.29
Microsoft,138,0.57,20.86
Actalent,128,0.53,21.39
Andiamo,124,0.51,21.9
GEICO,117,0.49,22.39
TikTok,109,0.45,22.84
Uber,107,0.44,23.28
hackajob,107,0.44,23.72
Alignerr,103,0.43,24.15
Agoda,101,0.42,24.57
Motion Recruitment,100,0.42,24.99
Jobot,97,0.4,25.39
PayPal,92,0.38,25.77
Qualcomm,91,0.38,26.15
Canonical,90,0.37,26.52
Lockheed Martin,89,0.37,26.89
Apex Systems,86,0.36,27.25
Cisco,80,0.33,27.58
Anthropic,79,0.33,27.91
Ernst & Young,77,0.32,28.23
LinkedIn,76,0.32,28.55
ByteDance,73,0.3,28.85
Haystack,73,0.3,29.15
Kforce Inc,72,0.3,29.45
CoreWeave,72,0.3,29.75
Walmart,72,0.3,30.05
Crowe,72,0.3,30.35
Capgemini,70,0.29,30.64
KPMG US,70,0.29,30.93
Akkodis Group Nordics,68,0.28,31.21
Tata Consultancy Services,68,0.28,31.49
"BAE Systems, Inc.",67,0.28,31.77
SpaceX,67,0.28,32.05
