source,cap,junior,mid,senior
kaggle_arshkon,5,18.47,6.12,75.41
kaggle_arshkon,10,19.06,6.11,74.84
kaggle_arshkon,20,20.16,5.94,73.9
kaggle_arshkon,50,20.63,5.7,73.67
kaggle_asaniczka,5,0.73,8.16,91.12
kaggle_asaniczka,10,0.68,8.07,91.25
kaggle_asaniczka,20,0.68,8.13,91.19
kaggle_asaniczka,50,0.71,8.07,91.22
scraped,5,13.68,3.17,83.15
scraped,10,13.77,3.12,83.11
scraped,20,13.94,3.18,82.88
scraped,50,14.2,3.17,82.64
