source,method,entry_pct,associate_pct,mid_senior_pct,director_pct,total
kaggle_arshkon,uncapped,20.48,5.55,73.43,0.54,4039
kaggle_arshkon,capped_10,19.05,6.12,74.25,0.57,3511
kaggle_asaniczka,uncapped,0.56,6.25,92.8,0.39,23213
kaggle_asaniczka,capped_10,0.68,8.07,91.05,0.19,11939
scraped,uncapped,14.49,2.77,81.76,0.99,22469
scraped,capped_10,13.77,3.12,82.19,0.92,13075
