company_name_canonical,arshkon_n,scraped_n,total_n
Google,15,520,535
JPMorgan Chase & Co.,12,479,491
Deloitte,22,345,367
Capital One,115,176,291
Leidos,16,226,242
Amazon,32,205,237
Amazon Web Services (AWS),12,204,216
Meta,6,205,211
Booz Allen Hamilton,9,198,207
DataAnnotation,163,38,201
Affirm,2,192,194
Wells Fargo,16,162,178
General Motors,14,155,169
Anduril Industries,5,155,160
Microsoft,19,138,157
Actalent,23,128,151
Motion Recruitment,42,100,142
Apex Systems,52,86,138
TikTok,14,109,123
GEICO,1,117,118
