company_name_canonical,n,status
Jobs via Dice,903,new
PricewaterhouseCoopers,235,new
YO IT Consulting,191,new
"Scribd, Inc.",174,new
Epic,163,new
Andiamo,124,new
Alignerr,103,new
Agoda,101,new
PayPal,92,new
Canonical,90,new
Lockheed Martin,89,new
Anthropic,79,new
Haystack,73,new
CoreWeave,72,new
Kforce Inc,72,new
Crowe,72,new
KPMG US,70,new
Akkodis Group Nordics,68,new
SpaceX,67,new
Lensa,62,new
TikTok USDS Joint Venture,57,new
PNC,56,new
Turing,55,new
NTT DATA North America,55,new
OpenAI,50,new
FullStack,49,new
Weights & Biases,46,new
TalentAlly,46,new
Intuit,44,new
Charles Schwab,42,new
