company_name_canonical,n,share_pct,cum_share_pct
DataAnnotation,163,3.28,3.28
Capital One,115,2.31,5.59
Apex Systems,52,1.05,6.64
Motion Recruitment,42,0.84,7.48
Tata Consultancy Services,39,0.78,8.26
Amazon,32,0.64,8.9
Open Systems Technologies,31,0.62,9.52
Fidelity Investments,29,0.58,10.1
Compunnel Inc.,26,0.52,10.62
Experis,26,0.52,11.14
ICE,26,0.52,11.66
CodeMonk,25,0.5,12.16
Insight Global,25,0.5,12.66
Akkodis,25,0.5,13.16
TEKsystems,24,0.48,13.64
Actalent,23,0.46,14.1
Deloitte,22,0.44,14.54
myGwork - LGBTQ+ Business Community,22,0.44,14.98
Discover Financial Services,21,0.42,15.4
Robert Half,20,0.4,15.8
Oracle,19,0.38,16.18
Microsoft,19,0.38,16.56
Dice,18,0.36,16.92
Wells Fargo,16,0.32,17.24
Piper Companies,16,0.32,17.56
Leidos,16,0.32,17.88
Synechron,15,0.3,18.18
maven,15,0.3,18.48
Talent Groups,15,0.3,18.78
Google,15,0.3,19.08
Centraprise,14,0.28,19.36
ClearanceJobs,14,0.28,19.64
Northrop Grumman,14,0.28,19.92
TikTok,14,0.28,20.2
"BAE Systems, Inc.",14,0.28,20.48
Palo Alto Networks,14,0.28,20.76
Ford Motor Company,14,0.28,21.04
Collabera,14,0.28,21.32
General Motors,14,0.28,21.6
Diverse Lynx,13,0.26,21.86
Photon,13,0.26,22.12
JPMorgan Chase & Co.,12,0.24,22.36
Avesta Computer Services,12,0.24,22.6
CNA Search,12,0.24,22.84
Eliassen Group,12,0.24,23.08
Amazon Web Services (AWS),12,0.24,23.32
Jobot,12,0.24,23.56
Selby Jennings,11,0.22,23.78
EPITEC,11,0.22,24.0
CACI International Inc,11,0.22,24.22
