source,is_aggregator,junior,mid,senior,total,junior_pct,mid_pct,senior_pct
kaggle_arshkon,False,638.0,221.0,2758.0,3617.0,17.6,6.1,76.3
kaggle_arshkon,True,192.0,7.0,250.0,449.0,42.8,1.6,55.7
kaggle_asaniczka,False,118.0,1356.0,15399.0,16873.0,0.7,8.0,91.3
kaggle_asaniczka,True,12.0,94.0,6234.0,6340.0,0.2,1.5,98.3
scraped,False,2338.0,543.0,16158.0,19039.0,12.3,2.9,84.9
scraped,True,917.0,79.0,2434.0,3430.0,26.7,2.3,71.0
