source,n_companies,total_postings,hhi,hhi_times_10000,top1_pct,top5_pct,top10_pct,top20_pct,gini
kaggle_arshkon,2298,4974,0.002925,29.25,3.28,8.26,11.16,15.84,0.4662
kaggle_asaniczka,4946,23213,0.013992,139.92,7.32,21.86,26.28,31.43,0.7096
scraped,5100,24095,0.004184,41.84,3.75,10.3,14.61,21.39,0.6892
