term,count_a,count_b,rate_a_per_1k,rate_b_per_1k,log_odds_delta,z,category,abs_z
seeking following.,16,1358,0.00859466024502302,0.3020650080376429,0.6687708812704258,15.296543633077134,other,15.296543633077134
following. today,16,1358,0.00859466024502302,0.3020650080376429,0.6687708812704258,15.296543633077134,other,15.296543633077134
stage careers.,16,1358,0.00859466024502302,0.3020650080376429,0.6687708812704258,15.296543633077134,other,15.296543633077134
destination stage,16,1358,0.00859466024502302,0.3020650080376429,0.6687708812704258,15.296543633077134,other,15.296543633077134
careers. seeking,13,1167,0.0069831614490812035,0.2595801652282248,0.6704032297942817,14.204456896803588,other,14.204456896803588
days week,104,1458,0.05586529159264963,0.32430838123629113,0.5291620219760969,13.326982787338176,other,13.326982787338176
need accommodation,4,945,0.002148665061255755,0.21019987672722573,0.6890353257083621,13.029056537373334,other,13.029056537373334
teams deliver,323,1959,0.17350470369640222,0.4357476809615187,0.3511945046901692,11.074554865865872,other,11.074554865865872
visit https,7,695,0.0037601638571975716,0.15459144373060515,0.6731097784302271,10.992834798520692,other,10.992834798520692
practical experience.,136,1227,0.07305461208269566,0.27292618914741373,0.449108106864875,10.741572269689977,other,10.741572269689977
participate reviews,369,2050,0.19821435190084338,0.45598915057228867,0.32622562324439297,10.637160335677724,other,10.637160335677724
agentic workflows,0,610,0.0,0.13568457651175417,0.6995199104316292,10.579877316840697,ai_domain,10.579877316840697
application onboarding,2,610,0.0010743325306278775,0.13568457651175417,0.6908237696887412,10.488168558770145,other,10.488168558770145
retrieval-augmented rag,4,609,0.002148665061255755,0.1354621427797677,0.6832584583401982,10.397007716760793,ai_domain,10.397007716760793
usd annually,0,584,0.0,0.12990129948010565,0.6995174583131476,10.351913046011838,other,10.351913046011838
accommodation adjustment,1,576,0.0005371662653139387,0.12812182962421378,0.6960503095989932,10.243108428012663,other,10.243108428012663
accommodations information.,0,562,0.0,0.12500775737640302,0.6995153834576318,10.155026508310291,other,10.155026508310291
how-we-hire accommodations,0,562,0.0,0.12500775737640302,0.6995153834576318,10.155026508310291,other,10.155026508310291
adjustment application,0,562,0.0,0.12500775737640302,0.6995153834576318,10.155026508310291,other,10.155026508310291
amazon.jobs how-we-hire,0,562,0.0,0.12500775737640302,0.6995153834576318,10.155026508310291,other,10.155026508310291
onboarding visit,0,562,0.0,0.12500775737640302,0.6995153834576318,10.155026508310291,other,10.155026508310291
https amazon.jobs,0,562,0.0,0.12500775737640302,0.6995153834576318,10.155026508310291,other,10.155026508310291
information. region,0,559,0.0,0.12434045618044359,0.700709161160292,10.137603938110596,other,10.137603938110596
listed partner.,0,559,0.0,0.12434045618044359,0.700709161160292,10.137603938110596,other,10.137603938110596
empowers amazonians,0,559,0.0,0.12434045618044359,0.700709161160292,10.137603938110596,other,10.137603938110596
amazonians deliver,0,559,0.0,0.12434045618044359,0.700709161160292,10.137603938110596,other,10.137603938110596
region applying,0,559,0.0,0.12434045618044359,0.700709161160292,10.137603938110596,other,10.137603938110596
inclusive empowers,0,559,0.0,0.12434045618044359,0.700709161160292,10.137603938110596,other,10.137603938110596
applying listed,2,559,0.0010743325306278775,0.12434045618044359,0.6912060442548338,10.041769665322942,other,10.041769665322942
customers. need,5,561,0.0026858313265696937,0.12478532364441655,0.6760939305028337,9.90720822602402,other,9.90720822602402
location hybrid,37,711,0.019875151816615734,0.15815038344238888,0.5716511740035646,9.869634799355312,other,9.869634799355312
results customers.,12,565,0.006445995183767265,0.1256750585723625,0.6458778785545025,9.622122893993936,other,9.622122893993936
continuous improvement,642,2752,0.3448607423315487,0.6121376304267993,0.24392628748693657,9.550673597015987,other,9.550673597015987
reasonable estimate,2,481,0.0010743325306278775,0.10699062508549796,0.6898587480839531,9.301826932096501,other,9.301826932096501
etl elt,99,904,0.053179460266079934,0.20108009371577995,0.4517768353548348,9.263616289608422,other,9.263616289608422
days week.,33,626,0.01772648675535998,0.1392435162235379,0.5709691327292781,9.250723791814051,other,9.250723791814051
rag pipelines,0,462,0.0,0.1027643841777548,0.699505952457601,9.207209732376384,ai_domain,9.207209732376384
peers stakeholders,33,620,0.01772648675535998,0.137908913831619,0.5698216187631449,9.192348031099728,other,9.192348031099728
large models,148,1080,0.07950060726646294,0.24022843054540083,0.399821169959484,9.166125371439838,other,9.166125371439838
pay u.s.,1,437,0.0005371662653139387,0.09720354087809274,0.693424331787396,8.900415547542199,other,8.900415547542199
immigration sponsorship,4,446,0.002148665061255755,0.09920544446597108,0.6759384207298993,8.832118335309602,other,8.832118335309602
tax audit,0,419,0.0,0.09319973370233607,0.7010955536885408,8.779452809063564,other,8.779452809063564
specific pwc,0,419,0.0,0.09319973370233607,0.7010955536885408,8.779452809063564,other,8.779452809063564
refer specific,0,419,0.0,0.09319973370233607,0.7010955536885408,8.779452809063564,other,8.779452809063564
pwc tax,0,419,0.0,0.09319973370233607,0.7010955536885408,8.779452809063564,other,8.779452809063564
audit conduct,0,419,0.0,0.09319973370233607,0.7010955536885408,8.779452809063564,other,8.779452809063564
standards refer,0,419,0.0,0.09319973370233607,0.7010955536885408,8.779452809063564,other,8.779452809063564
various factors,5,444,0.0026858313265696937,0.09876057700199813,0.6714570824373318,8.76855458717361,other,8.76855458717361
scaling existing,23,529,0.012354824102220592,0.11766744422084911,0.5912936981505261,8.730763980925413,other,8.730763980925413
examples need,1,419,0.0005371662653139387,0.09319973370233607,0.6931625148803011,8.712884883227714,other,8.712884883227714
leveraging techniques,6,442,0.0032229975918836324,0.09831570953802515,0.6641008379259521,8.68322502699573,ai_domain,8.68322502699573
conduct requirements.,2,419,0.0010743325306278775,0.09319973370233607,0.6884341874437538,8.668774072454148,other,8.668774072454148
agentic frameworks,0,408,0.0,0.09075296265048476,0.699500859827598,8.65234779083868,ai_domain,8.65234779083868
degree practical,114,894,0.06123695424578902,0.19885575639591516,0.4172191468126183,8.637076972680788,other,8.637076972680788
production environments.,120,916,0.06445995183767264,0.20374929849961773,0.41079519290036437,8.63207872255872,other,8.63207872255872
closely teams,366,1752,0.19660285310490158,0.3897038984403169,0.28030443040040254,8.619654161812312,other,8.619654161812312
case. reasonable,0,403,0.0,0.08964079399055234,0.7011574201436925,8.610613430984507,other,8.610613430984507
dependent facts,1,408,0.0005371662653139387,0.09075296265048476,0.6946106882930501,8.607619783400983,other,8.607619783400983
circumstances case.,2,410,0.0010743325306278775,0.09119783011445773,0.6865972098366271,8.561708787648897,other,8.561708787648897
non-internship patterns,14,465,0.007520327714395143,0.10343168537371425,0.6242798083861256,8.516671763817223,other,8.516671763817223
facts circumstances,3,411,0.0016114987959418162,0.09142026384644421,0.6802691301670016,8.516663340556455,other,8.516663340556455
stakeholders translate,9,440,0.004834496387825449,0.0978708420740522,0.6481333635907305,8.51197141758056,other,8.51197141758056
elt pipelines,10,444,0.005371662653139387,0.09876057700199813,0.6415987932182396,8.490945381051157,other,8.490945381051157
need deliver,8,428,0.00429733012251151,0.0952016372902144,0.651153226737776,8.425495153472045,other,8.425495153472045
event-driven architectures,20,486,0.010743325306278775,0.10810279374543037,0.5967177152373875,8.425238773722466,other,8.425238773722466
patterns scaling,38,566,0.020412318081929674,0.12589749230434896,0.5381413273270024,8.411282116308342,other,8.411282116308342
distributed systems.,167,1061,0.08970676630742777,0.23600218963765768,0.36390723151428084,8.398648920468618,other,8.398648920468618
reasonable accommodation,21,478,0.011280491571592714,0.10632332388953851,0.5913951672953139,8.298111759400147,other,8.298111759400147
reinforce standards,0,369,0.0,0.08207804710301196,0.7013071677547433,8.240356690346289,other,8.240356690346289
takes account,2,371,0.0010743325306278775,0.08252291456698492,0.6870079557827555,8.144982437589048,other,8.144982437589048
factors considered,13,424,0.0069831614490812035,0.09431190236226848,0.6230578843812289,8.120724521710338,other,8.120724521710338
privacy notice.,0,358,0.0,0.07963127605116065,0.699496144498239,8.104803170993158,other,8.104803170993158
translate requirements,266,1359,0.1428862265735077,0.3022874417696294,0.30100102080215585,8.078531168808308,other,8.078531168808308
factors location,8,395,0.00429733012251151,0.0878613241346605,0.6487920558340932,8.070563449874436,other,8.070563449874436
typical individual,1,358,0.0005371662653139387,0.07963127605116065,0.693924913209294,8.05705442564584,other,8.05705442564584
annual incentive,1,357,0.0005371662653139387,0.07940884231917417,0.6920608548207969,8.033530023337573,other,8.033530023337573
individual near,1,357,0.0005371662653139387,0.07940884231917417,0.6920608548207969,8.033530023337573,other,8.033530023337573
account factors,0,349,0.0,0.0776293724632823,0.7014092025728029,8.014575770286918,other,8.014575770286918
sets licensure,1,354,0.0005371662653139387,0.07874154112321471,0.6938617633170701,8.011375713879916,other,8.011375713879916
pay location,3,365,0.0016114987959418162,0.08118831217506603,0.6778736899746001,8.00602324046946,other,8.00602324046946
making sets,1,352,0.0005371662653139387,0.07829667365924176,0.6938296548880967,7.988438461566848,other,7.988438461566848
wage takes,0,345,0.0,0.07673963753533639,0.7014310581948582,7.968652270480486,other,7.968652270480486
considered making,1,351,0.0005371662653139387,0.07807423992725526,0.6919337947729041,7.964713415548731,other,7.964713415548731
location filled.,1,351,0.0005371662653139387,0.07807423992725526,0.6919337947729041,7.964713415548731,other,7.964713415548731
adjusted applicable,1,349,0.0005371662653139387,0.0776293724632823,0.6918904794768608,7.9416421169786675,other,7.9416421169786675
certifications organizational,4,364,0.002148665061255755,0.08096587844307954,0.670716878247335,7.935412951914965,other,7.935412951914965
filled. typical,1,346,0.0005371662653139387,0.07696207126732287,0.693731121873002,7.91922831091713,other,7.91922831091713
needs. estimate,1,347,0.0005371662653139387,0.07718450499930934,0.6918466694125307,7.91850364102279,other,7.91850364102279
differential location,1,347,0.0005371662653139387,0.07718450499930934,0.6918466694125307,7.91850364102279,other,7.91850364102279
applicable differential,1,347,0.0005371662653139387,0.07718450499930934,0.6918466694125307,7.91850364102279,other,7.91850364102279
estimate adjusted,1,347,0.0005371662653139387,0.07718450499930934,0.6918466694125307,7.91850364102279,other,7.91850364102279
near dependent,2,352,0.0010743325306278775,0.07829667365924176,0.6844854822446411,7.915930343457515,other,7.915930343457515
licensure certifications,6,371,0.0032229975918836324,0.08252291456698492,0.6591751252393934,7.9106121355583054,other,7.9106121355583054
teams translate,45,549,0.024172481939127244,0.12211611886057876,0.5066007313106624,7.905982098063409,other,7.905982098063409
incentive program,1,344,0.0005371662653139387,0.0765172038033499,0.6936975202942968,7.896023523373421,other,7.896023523373421
organizational needs.,13,404,0.0069831614490812035,0.08986322772253882,0.6194549860632677,7.893308921730654,other,7.893308921730654
eligible participate,8,376,0.00429733012251151,0.08363508322691732,0.6446878704378491,7.840758090815145,other,7.840758090815145
sets apart,35,498,0.018800819285987858,0.11077199852926817,0.532347022926416,7.822578911932374,other,7.822578911932374
minimum maximum,10,382,0.005371662653139387,0.08496968561883622,0.6325816502157355,7.795717411415151,other,7.795717411415151
hands-on expertise,42,526,0.02256098314318543,0.11700014302488967,0.5110274566049515,7.791236339133226,other,7.791236339133226
