term,count_a,count_b,rate_a_per_1k,rate_b_per_1k,log_odds_delta,z,category,abs_z
demonstrating,68,1,3.4496753246753245,0.03293699153519317,-1.2787403016692682,-6.527639735095548,other,6.527639735095548
analyse,64,0,3.246753246753247,0.0,-1.3076504446419266,-6.4061527025925225,other,6.4061527025925225
laundering,63,0,3.1960227272727275,0.0,-1.3183199389396876,-6.365178509695962,other,6.365178509695962
manipulate,63,0,3.1960227272727275,0.0,-1.3183199389396876,-6.365178509695962,other,6.365178509695962
macros,63,0,3.1960227272727275,0.0,-1.3183199389396876,-6.365178509695962,other,6.365178509695962
vba,63,0,3.1960227272727275,0.0,-1.3183199389396876,-6.365178509695962,other,6.365178509695962
firms.,63,0,3.1960227272727275,0.0,-1.3183199389396876,-6.365178509695962,other,6.365178509695962
invite,63,0,3.1960227272727275,0.0,-1.3183199389396876,-6.365178509695962,other,6.365178509695962
anti,63,0,3.1960227272727275,0.0,-1.3183199389396876,-6.365178509695962,other,6.365178509695962
ethics,63,0,3.1960227272727275,0.0,-1.3183199389396876,-6.365178509695962,other,6.365178509695962
instrument,63,0,3.1960227272727275,0.0,-1.3183199389396876,-6.365178509695962,other,6.365178509695962
pricing,64,1,3.246753246753247,0.03293699153519317,-1.276861177706329,-6.32763491819641,other,6.32763491819641
abilities,71,5,3.601866883116883,0.1646849576759659,-1.139274378479759,-6.326361625353391,other,6.326361625353391
econometric,62,0,3.145292207792208,0.0,-1.3076029491404526,-6.305033087777479,other,6.305033087777479
liabilities,62,0,3.145292207792208,0.0,-1.3076029491404526,-6.305033087777479,other,6.305033087777479
responsibly.,62,0,3.145292207792208,0.0,-1.3076029491404526,-6.305033087777479,other,6.305033087777479
alteryx,62,0,3.145292207792208,0.0,-1.3076029491404526,-6.305033087777479,other,6.305033087777479
produce.,62,0,3.145292207792208,0.0,-1.3076029491404526,-6.305033087777479,other,6.305033087777479
displaying,62,0,3.145292207792208,0.0,-1.3076029491404526,-6.305033087777479,other,6.305033087777479
pwc,62,0,3.145292207792208,0.0,-1.3076029491404526,-6.305033087777479,other,6.305033087777479
refinitiv,62,0,3.145292207792208,0.0,-1.3076029491404526,-6.305033087777479,other,6.305033087777479
confidently,62,0,3.145292207792208,0.0,-1.3076029491404526,-6.305033087777479,other,6.305033087777479
solvers,62,0,3.145292207792208,0.0,-1.3076029491404526,-6.305033087777479,other,6.305033087777479
conduct.,62,0,3.145292207792208,0.0,-1.3076029491404526,-6.305033087777479,other,6.305033087777479
specialism.,62,0,3.145292207792208,0.0,-1.3076029491404526,-6.305033087777479,other,6.305033087777479
moment,62,0,3.145292207792208,0.0,-1.3076029491404526,-6.305033087777479,other,6.305033087777479
masters-level,62,0,3.145292207792208,0.0,-1.3076029491404526,-6.305033087777479,other,6.305033087777479
procedures.,67,3,3.3989448051948052,0.09881097460557953,-1.196449374904879,-6.295383529454074,other,6.295383529454074
statistical,72,6,3.6525974025974026,0.19762194921115905,-1.1120025167267764,-6.292326033396568,other,6.292326033396568
secondary,63,1,3.1960227272727275,0.03293699153519317,-1.266368176214666,-6.267203199918772,other,6.267203199918772
suggestions,62,1,3.145292207792208,0.03293699153519317,-1.2758366428670742,-6.225246146782761,other,6.225246146782761
verbally,62,1,3.145292207792208,0.03293699153519317,-1.2758366428670742,-6.225246146782761,other,6.225246146782761
fraud,62,1,3.145292207792208,0.03293699153519317,-1.2758366428670742,-6.225246146782761,other,6.225246146782761
arise.,62,1,3.145292207792208,0.03293699153519317,-1.2758366428670742,-6.225246146782761,other,6.225246146782761
up-to-date,66,4,3.3482142857142856,0.1317479661407727,-1.1605822774787606,-6.15608924248439,other,6.15608924248439
tableau,64,4,3.246753246753247,0.1317479661407727,-1.156357225315542,-6.051003446911626,other,6.051003446911626
demonstrates,64,4,3.246753246753247,0.1317479661407727,-1.156357225315542,-6.051003446911626,other,6.051003446911626
possessing,62,3,3.145292207792208,0.09881097460557953,-1.196888648239911,-6.044450729003004,other,6.044450729003004
manner.,64,5,3.246753246753247,0.1646849576759659,-1.1303641287829338,-5.970399948229408,other,5.970399948229408
network.,62,4,3.145292207792208,0.1317479661407727,-1.1518873888608727,-5.944094737323,other,5.944094737323
constructive,67,8,3.3989448051948052,0.2634959322815454,-1.046711263613969,-5.866197627816464,other,5.866197627816464
execution.,62,5,3.145292207792208,0.1646849576759659,-1.1252015319594761,-5.862165770302583,other,5.862165770302583
articulate,64,7,3.246753246753247,0.23055894074635222,-1.0663773988817544,-5.790867367855313,other,5.790867367855313
concise,64,7,3.246753246753247,0.23055894074635222,-1.0663773988817544,-5.790867367855313,other,5.790867367855313
responsibilities,100,33,5.073051948051948,1.086920720661375,-0.7262459393622409,-5.719162303222493,other,5.719162303222493
subject,69,12,3.500405844155844,0.3952438984223181,-0.949072259304014,-5.631204020147317,other,5.631204020147317
methods,73,15,3.703327922077922,0.49405487302789763,-0.8936549576827089,-5.596705718823307,other,5.596705718823307
record,72,15,3.6525974025974026,0.49405487302789763,-0.8934817783746531,-5.547860922402687,other,5.547860922402687
manner,67,12,3.3989448051948052,0.3952438984223181,-0.9405340493737082,-5.519029520498623,other,5.519029520498623
follow,64,10,3.246753246753247,0.3293699153519318,-0.9738554296982604,-5.515352165302764,other,5.515352165302764
