direction,category,n,pct
2026_favored,other,82,82.0
2026_favored,ai_domain,9,9.0
2026_favored,boilerplate,6,6.0
2026_favored,sys_design,1,1.0
2026_favored,ai_tool,1,1.0
2026_favored,noise,1,1.0
2024_favored,other,87,87.0
2024_favored,tech_stack,8,8.0
2024_favored,credential,3,3.0
2024_favored,soft_skill,1,1.0
2024_favored,org_scope,1,1.0
