metro_area,period,n,entry_n,broad_ai_any_n,broad_ai_count,broad_ai_chars,ai_tool_any_n,ai_tool_count,ai_tool_chars,org_any_n,org_count,org_chars,raw_chars,entry_share,broad_ai_any_share,broad_ai_rate_per_1k,ai_tool_any_share,ai_tool_rate_per_1k,org_any_share,org_rate_per_1k,avg_raw_description_length
Atlanta Metro,2024-04,134,28,1,1,91259,1,1,91259,0,0,91259,458525,0.208955223880597,0.007462686567164179,0.010957823337972145,0.007462686567164179,0.010957823337972145,0.0,0.0,3421.8283582089553
Atlanta Metro,2026-03,128,22,19,62,105517,19,62,105517,0,0,105517,615796,0.171875,0.1484375,0.5875830434906224,0.1484375,0.5875830434906224,0.0,0.0,4810.90625
Austin Metro,2024-04,96,10,1,1,57693,1,1,57693,0,0,57693,336155,0.10416666666666667,0.010416666666666666,0.017333125335829303,0.010416666666666666,0.017333125335829303,0.0,0.0,3501.6145833333335
Austin Metro,2026-03,147,8,22,65,132001,22,65,132001,0,0,132001,829346,0.05442176870748299,0.14965986394557823,0.49242051196581843,0.14965986394557823,0.49242051196581843,0.0,0.0,5641.809523809524
Boston Metro,2024-04,132,18,2,3,91138,2,3,91138,0,0,91138,496641,0.13636363636363635,0.015151515151515152,0.032917114705172376,0.015151515151515152,0.032917114705172376,0.0,0.0,3762.431818181818
Boston Metro,2026-03,167,21,30,114,141525,29,113,141525,0,0,141525,854878,0.12574850299401197,0.17964071856287425,0.8055113937466879,0.17365269461077845,0.7984455043278572,0.0,0.0,5119.029940119761
Charlotte Metro,2024-04,75,20,1,1,46172,1,1,46172,0,0,46172,239884,0.26666666666666666,0.013333333333333334,0.021658147795200554,0.013333333333333334,0.021658147795200554,0.0,0.0,3198.4533333333334
Charlotte Metro,2026-03,76,11,15,49,52334,15,49,52334,0,0,52334,304088,0.14473684210526316,0.19736842105263158,0.9362938051744564,0.19736842105263158,0.9362938051744564,0.0,0.0,4001.157894736842
Chicago Metro,2024-04,156,18,1,1,98137,1,1,98137,0,0,98137,524621,0.11538461538461539,0.00641025641025641,0.01018983665691839,0.00641025641025641,0.01018983665691839,0.0,0.0,3362.9551282051284
Chicago Metro,2026-03,139,12,25,103,124655,25,103,124655,0,0,124655,736335,0.08633093525179857,0.17985611510791366,0.8262805342745979,0.17985611510791366,0.8262805342745979,0.0,0.0,5297.374100719425
Dallas-Fort Worth Metro,2024-04,251,39,1,1,144025,1,1,144025,0,0,144025,732041,0.1553784860557769,0.00398406374501992,0.006943239021003298,0.00398406374501992,0.006943239021003298,0.0,0.0,2916.4980079681277
Dallas-Fort Worth Metro,2026-03,189,17,37,125,151930,36,124,151930,0,0,151930,917191,0.08994708994708994,0.19576719576719576,0.8227473178437438,0.19047619047619047,0.8161653393009939,0.0,0.0,4852.862433862434
Denver Metro,2024-04,82,17,1,7,64683,1,7,64683,0,0,64683,345186,0.2073170731707317,0.012195121951219513,0.10822008874047277,0.012195121951219513,0.10822008874047277,0.0,0.0,4209.585365853659
Denver Metro,2026-03,78,7,4,26,68617,4,26,68617,0,0,68617,402741,0.08974358974358974,0.05128205128205128,0.3789148461751461,0.05128205128205128,0.3789148461751461,0.0,0.0,5163.346153846154
Detroit Metro,2024-04,57,7,2,2,36886,2,2,36886,0,0,36886,217305,0.12280701754385964,0.03508771929824561,0.054221113701675434,0.03508771929824561,0.054221113701675434,0.0,0.0,3812.3684210526317
Detroit Metro,2026-03,60,7,7,31,56735,7,31,56735,0,0,56735,332881,0.11666666666666667,0.11666666666666667,0.5463999294967833,0.11666666666666667,0.5463999294967833,0.0,0.0,5548.016666666666
Houston Metro,2024-04,59,14,1,1,35500,1,1,35500,0,0,35500,165683,0.23728813559322035,0.01694915254237288,0.028169014084507043,0.01694915254237288,0.028169014084507043,0.0,0.0,2808.186440677966
Houston Metro,2026-03,60,9,6,33,49247,6,33,49247,0,0,49247,302225,0.15,0.1,0.6700915791824883,0.1,0.6700915791824883,0.0,0.0,5037.083333333333
Los Angeles Metro,2024-04,122,15,4,17,83832,4,17,83832,0,0,83832,421705,0.12295081967213115,0.03278688524590164,0.20278652543181602,0.03278688524590164,0.20278652543181602,0.0,0.0,3456.598360655738
Los Angeles Metro,2026-03,171,34,23,76,159012,22,75,159012,0,0,159012,949077,0.19883040935672514,0.13450292397660818,0.47795134958367924,0.1286549707602339,0.47166251603652554,0.0,0.0,5550.1578947368425
New York City Metro,2024-04,254,50,12,31,147768,12,31,147768,0,0,147768,791738,0.1968503937007874,0.047244094488188976,0.20978831682096258,0.047244094488188976,0.20978831682096258,0.0,0.0,3117.0787401574803
New York City Metro,2026-03,296,31,78,266,252762,78,265,252762,0,0,252762,1548451,0.10472972972972973,0.2635135135135135,1.0523733789098044,0.2635135135135135,1.0484170880116472,0.0,0.0,5231.253378378378
Philadelphia Metro,2024-04,67,16,0,0,33037,0,0,33037,0,0,33037,171995,0.23880597014925373,0.0,0.0,0.0,0.0,0.0,0.0,2567.089552238806
Philadelphia Metro,2026-03,73,15,8,32,55321,8,32,55321,0,0,55321,343031,0.2054794520547945,0.1095890410958904,0.5784421828961877,0.1095890410958904,0.5784421828961877,0.0,0.0,4699.054794520548
Phoenix Metro,2024-04,77,20,1,5,41408,1,5,41408,0,0,41408,203528,0.2597402597402597,0.012987012987012988,0.12074961360123648,0.012987012987012988,0.12074961360123648,0.0,0.0,2643.220779220779
Phoenix Metro,2026-03,73,11,12,48,64023,12,48,64023,0,0,64023,382787,0.1506849315068493,0.1643835616438356,0.7497305655779954,0.1643835616438356,0.7497305655779954,0.0,0.0,5243.657534246576
San Diego Metro,2024-04,54,16,2,4,36228,2,4,36228,0,0,36228,232301,0.2962962962962963,0.037037037037037035,0.11041183614883515,0.037037037037037035,0.11041183614883515,0.0,0.0,4301.87037037037
San Diego Metro,2026-03,63,11,9,35,54987,8,34,54987,0,0,54987,336349,0.1746031746031746,0.14285714285714285,0.6365140851473985,0.12698412698412698,0.6183279684289014,0.0,0.0,5338.873015873016
San Francisco Bay Area,2024-04,382,50,17,62,237521,17,62,237521,0,0,237521,1347496,0.13089005235602094,0.04450261780104712,0.2610295510712737,0.04450261780104712,0.2610295510712737,0.0,0.0,3527.476439790576
San Francisco Bay Area,2026-03,516,63,120,298,415855,117,292,415855,0,0,415855,2640282,0.12209302325581395,0.23255813953488372,0.7165959288694377,0.22674418604651161,0.7021678229190463,0.0,0.0,5116.825581395349
