,,,flesch_kincaid,flesch_kincaid,flesch_kincaid,flesch_reading_ease,flesch_reading_ease,gunning_fog,gunning_fog,avg_sentence_length,avg_sentence_length,text_length,text_length,text_length
,,,mean,median,std,mean,median,mean,median,mean,median,mean,median,count
period,seniority_3level,text_type,,,,,,,,,,,,
2024-01,junior,cleaned,22.47,20.43,7.56,-24.41,-20.4,25.79,24.01,23.38,16.38,1656.36,1438.5,130
2024-01,junior,raw_description,18.35,16.58,6.29,11.36,13.8,21.81,20.33,26.86,22.67,3241.91,3016.0,130
2024-01,mid,cleaned,22.34,19.83,7.75,-25.36,-22.77,25.81,23.61,22.31,14.54,1837.48,1669.0,1442
2024-01,mid,raw_description,17.37,16.11,6.17,13.71,16.11,20.86,19.56,24.23,20.73,3729.32,3609.0,1449
2024-01,senior,cleaned,23.38,20.39,10.54,-26.58,-22.8,26.82,24.05,25.81,17.0,2079.84,1860.5,1994
2024-01,senior,raw_description,17.81,16.71,6.12,13.11,15.42,21.25,20.11,25.66,22.71,4155.18,4006.0,1999
2024-04,junior,cleaned,23.36,20.98,8.63,-33.39,-29.66,26.42,24.38,21.92,14.33,1757.61,1646.0,823
2024-04,junior,raw_description,17.46,16.49,4.31,11.24,12.24,20.71,19.96,23.2,20.64,3838.29,3678.0,830
2024-04,mid,cleaned,22.8,21.18,6.95,-34.3,-31.21,25.6,24.07,19.15,13.31,1785.15,1672.0,227
2024-04,mid,raw_description,17.83,16.5,6.72,8.26,10.66,20.92,19.56,23.02,19.78,3483.34,3031.5,228
2024-04,senior,cleaned,23.49,20.86,9.42,-32.87,-29.72,26.44,23.93,22.73,14.41,1723.21,1598.0,1991
2024-04,senior,raw_description,18.05,16.37,7.49,9.22,12.31,21.21,19.6,24.44,20.18,3496.76,3151.0,1997
2024-04,unknown,cleaned,21.46,20.07,7.62,-23.38,-23.34,24.13,22.76,19.88,16.4,1287.52,998.0,950
2024-04,unknown,raw_description,17.73,16.5,7.0,11.25,12.77,20.72,19.62,24.33,21.36,2290.29,1516.0,952
2026-03,junior,cleaned,18.8,17.93,4.09,-11.38,-10.28,21.8,21.22,15.89,13.73,2977.74,2806.5,1998
2026-03,junior,raw_description,16.51,15.34,4.6,17.32,19.99,19.79,18.71,22.83,20.92,4576.57,4277.5,2000
2026-03,mid,cleaned,20.73,19.12,7.74,-17.63,-16.02,24.03,22.68,20.19,14.38,3039.79,2771.0,622
2026-03,mid,raw_description,18.98,16.53,9.61,8.25,13.15,22.44,20.13,27.67,21.09,4177.73,3829.0,622
2026-03,senior,cleaned,19.85,18.78,5.34,-15.84,-14.57,23.2,22.26,17.65,14.0,3614.23,3483.5,2000
2026-03,senior,raw_description,17.68,16.26,6.18,12.15,15.6,21.21,19.91,24.6,20.96,5322.51,5333.5,2000
2026-03,unknown,cleaned,20.07,19.56,3.87,-17.97,-18.17,23.66,23.19,17.32,14.74,3921.8,3766.5,1626
2026-03,unknown,raw_description,17.65,16.66,4.38,11.45,13.22,21.28,20.47,24.08,21.54,5630.28,5464.5,1626
