section,2024-01,2024-04,2026-03
about_company,18.0,11.9,33.4
benefits,16.9,11.1,25.7
legal_eeo,5.3,4.4,7.8
preferred,21.8,11.8,32.9
requirements,44.4,29.3,57.4
responsibilities,35.3,22.4,47.3
role_summary,72.1,43.2,84.1
unclassified,31.0,57.4,21.4
