period,section,median_chars,mean_chars,total_chars,n
2024-01,about_company,570.0,993.5895310796075,4555608,4585
2024-01,benefits,705.0,1074.0315406389002,7968240,7419
2024-01,legal_eeo,783.5,960.7505938242281,2426856,2526
2024-01,preferred,1040.0,1570.0463981990995,12554091,7996
2024-01,requirements,780.0,1068.7485963817842,15418836,14427
2024-01,responsibilities,1046.0,1355.7064751072533,13588246,10023
2024-01,role_summary,1353.0,1578.9164744445793,13005535,8237
2024-01,unclassified,928.0,1364.4379099499722,24546238,17990
2024-04,about_company,903.5,1247.7079646017698,845946,678
2024-04,benefits,718.5,1084.6872074882995,1390569,1282
2024-04,legal_eeo,879.5,1107.7739726027398,485205,438
2024-04,preferred,944.0,1378.9124015748032,1400975,1016
2024-04,requirements,736.5,1070.8858299595142,2645088,2470
2024-04,responsibilities,1098.0,1391.4585289514866,2667426,1917
2024-04,role_summary,1043.0,1434.684246112238,2121898,1479
2024-04,unclassified,780.0,1215.0238948626045,5084875,4185
2026-03,about_company,3364.0,3193.6646132785763,4665944,1461
2026-03,benefits,1885.0,1986.625959292626,11907836,5994
2026-03,legal_eeo,883.0,1049.1818181818182,1915806,1826
2026-03,preferred,1516.0,1845.7250396196514,2329305,1262
2026-03,requirements,1141.0,1671.4794176706828,3329587,1992
2026-03,responsibilities,2508.0,3082.132454923717,8888870,2884
2026-03,role_summary,1435.5,2095.6434977578474,1869314,892
2026-03,unclassified,3637.0,3820.684799594543,90462354,23677
