section,2024-01,2024-04,2026-03,change_01_to_26,pct_change_01_to_26,change_04_to_26,pct_change_04_to_26
about_company,236.0,203.0,590.0,354.0,150.0,387.0,190.6
benefits,240.0,126.0,400.0,160.0,66.7,274.0,217.5
legal_eeo,71.0,62.0,124.0,53.0,74.6,62.0,100.0
preferred,457.0,237.0,558.0,101.0,22.1,321.0,135.4
requirements,525.0,344.0,806.0,281.0,53.5,462.0,134.3
responsibilities,566.0,305.0,818.0,252.0,44.5,513.0,168.2
role_summary,1300.0,814.0,1611.0,311.0,23.9,797.0,97.9
unclassified,657.0,1225.0,296.0,-361.0,-54.9,-929.0,-75.8
