spec,metric,swe_change,control_change,did
primary,ai_tool_share,0.1839647155305255,0.0015496779633322293,0.1824150375671933
primary,scope_any_share,0.2085755568893073,0.10753579760489729,0.10103975928441
primary,analysis_text_median_len,445.74127545178044,297.4012843793764,148.33999107240402
no_aggregators,ai_tool_share,0.18649810292189856,0.0020971567734157665,0.1844009461484828
no_aggregators,scope_any_share,0.21217811580575174,0.1053269272693733,0.10685118853637844
no_aggregators,analysis_text_median_len,507.4833951030969,294.5716834457842,212.9117116573127
no_title_lookup_llm,ai_tool_share,0.18674111190482193,0.0015496779633322293,0.1851914339414897
no_title_lookup_llm,scope_any_share,0.20574296423900268,0.10753579760489729,0.09820716663410539
no_title_lookup_llm,analysis_text_median_len,445.28981048226615,297.4012843793764,147.88852610288973
no_aggregators_no_title_lookup_llm,ai_tool_share,0.18819704045136643,0.0020971567734157665,0.18609988367795066
no_aggregators_no_title_lookup_llm,scope_any_share,0.20795490247828008,0.1053269272693733,0.10262797520890678
no_aggregators_no_title_lookup_llm,analysis_text_median_len,510.66528594603597,294.5716834457842,216.0936025002518
