source_group,period_group,eligible_n,multi_location_excluded_n,unresolved_non_multi_location_n,metro_rollup_candidate_n,multi_location_excluded_share
arshkon,2024,4691,116,1801,2774,0.024728202941803452
asaniczka,2024,18129,894,4351,12884,0.049313255005791826
scraped_2026,2026,40881,3090,7231,30560,0.07558523519483379
