metro_area,labeled_n_2024,labeled_n_2026,actual_ai_delta_labeled,predicted_ai_delta_from_archetype_mix,residual_ai_delta_after_archetype_mix
Tampa Bay Metro,204,72,0.2581699346405229,0.21824099812961678,0.03992893651090611
Salt Lake City Metro,315,529,0.24545863714105678,0.2316774329097582,0.01378120423129859
New York City Metro,67,594,0.2310920146741042,0.23539178186694276,-0.00429976719283855
Seattle Metro,711,666,0.22170905082297487,0.21187700712116067,0.009832043701814203
San Francisco Bay Area,1587,1574,0.2206339789058015,0.21995114648756775,0.0006828324182337475
Atlanta Metro,554,310,0.20080354023523933,0.1892214177233821,0.011582122511857213
Boston Metro,801,450,0.19990012484394507,0.19734027377088534,0.00255985107305972
Raleigh-Durham-Chapel Hill,232,175,0.1941871921182266,0.20586204256735896,-0.01167485044913236
Phoenix Metro,327,200,0.19053516819571864,0.16754264362677357,0.02299252456894507
Charlotte Metro,284,296,0.18861819566044918,0.18724713648546973,0.0013710591749794537
Miami Metro,202,68,0.18593476994758298,0.15010632585443565,0.03582844409314734
Portland Metro,114,43,0.18298653610771115,0.1637626605003525,0.019223875607358644
Minneapolis-Saint Paul,241,154,0.17640243573853534,0.21108231203129052,-0.03467987629275518
San Diego Metro,251,157,0.17593320983581598,0.15029039707894384,0.02564281275687214
Chicago Metro,673,304,0.17359427543598968,0.16095248260595876,0.012641792830030925
Dallas-Fort Worth Metro,798,575,0.1716639424648578,0.17458641557032945,-0.00292247310547164
Nashville Metro,97,66,0.17150890346766637,0.12277297967614362,0.048735923791522744
Austin Metro,338,337,0.14856109423559777,0.13078450817365012,0.017776586061947666
Houston Metro,218,153,0.1293398093182227,0.15492071254920847,-0.02558090323098578
Washington DC Metro,1991,905,0.1233550979407333,0.12759012645757356,-0.004235028516840274
Columbus Metro,128,150,0.11656250000000001,0.13102311441827724,-0.014460614418277236
Pittsburgh Metro,191,137,0.1060113883899568,0.14256704793868635,-0.03655565954872954
Philadelphia Metro,443,241,0.10190796436967864,0.133432990653393,-0.03152502628371438
Los Angeles Metro,948,508,0.09862453902122995,0.11854633397418973,-0.019921794952959794
Detroit Metro,342,178,0.09366581247125305,0.1256959820585428,-0.03203016958728975
Denver Metro,529,236,0.07809746563711512,0.11684914569390376,-0.03875168005678863
