sensitivity,metric,metros_compared,primary_mean_delta,sensitivity_mean_delta,mean_abs_relative_change,direction_flip_metros,material_metros,material_metro_share
aggregator_excluded,delta_j1_entry_share,26,0.011249721468681008,0.011792027589842472,0.34567416989478983,1,9,0.34615384615384615
aggregator_excluded,delta_j3_low_yoe_share,26,0.049474600125309465,0.05537316986170352,0.4695137239940266,1,9,0.34615384615384615
aggregator_excluded,delta_broad_ai_share,26,0.176340359537585,0.17497381594630432,0.05938615855308389,0,0,0.0
aggregator_excluded,delta_ai_tool_strict_share,26,0.16063287887567654,0.1589073592024507,0.055193682915642035,0,0,0.0
aggregator_excluded,delta_requirement_breadth_mean_llm,26,2.143102698279304,2.260204646468549,0.2329611565371311,0,4,0.15384615384615385
aggregator_excluded,delta_tech_count_mean,26,2.0017340792725915,2.0670436390048654,0.24642132988622462,0,2,0.07692307692307693
company_cap20,delta_j1_entry_share,26,0.011249721468681008,0.012466883543615775,0.19599950808862956,1,5,0.19230769230769232
company_cap20,delta_j3_low_yoe_share,26,0.049474600125309465,0.0388599763950318,0.35438352981065735,2,6,0.23076923076923078
company_cap20,delta_broad_ai_share,26,0.176340359537585,0.17784171130582557,0.03494777843713108,0,0,0.0
company_cap20,delta_ai_tool_strict_share,26,0.16063287887567654,0.16195349579385646,0.03518379040778527,0,0,0.0
company_cap20,delta_requirement_breadth_mean_llm,26,2.143102698279304,2.17329622690589,0.0939115125035638,0,1,0.038461538461538464
company_cap20,delta_tech_count_mean,26,2.0017340792725915,2.0044244472732022,0.0914173690642163,0,1,0.038461538461538464
