column,dtype,source,subset,n_rows,non_null_n,non_null_rate,null_rate,distinct_n,top_5_values
uid,VARCHAR,kaggle_arshkon,all,117644,117644,1.0,0.0,117644,"[""arshkon_1014822088 (1)"", ""arshkon_103254301 (1)"", ""arshkon_103860943 (1)"", ""arshkon_1093227543 (1)"", ""arshkon_10998357 (1)""]"
uid,VARCHAR,kaggle_arshkon,swe,4639,4639,1.0,0.0,4639,"[""arshkon_133130219 (1)"", ""arshkon_175485704 (1)"", ""arshkon_2234533717 (1)"", ""arshkon_2269442456 (1)"", ""arshkon_3475933396 (1)""]"
uid,VARCHAR,kaggle_asaniczka,all,1012193,1012193,1.0,0.0,1012193,"[""asaniczka_0000013cc4386253 (1)"", ""asaniczka_00000fd1404e8578 (1)"", ""asaniczka_0000527d9e26a023 (1)"", ""asaniczka_00005de450c4dc21 (1)"", ""asaniczka_000063fa9c460488 (1)""]"
uid,VARCHAR,kaggle_asaniczka,swe,22043,22043,1.0,0.0,22043,"[""asaniczka_00015ce036ec7460 (1)"", ""asaniczka_0003c47024a5c2bc (1)"", ""asaniczka_000459587be6807b (1)"", ""asaniczka_00075366bcbc814d (1)"", ""asaniczka_00088a75e9a4b190 (1)""]"
uid,VARCHAR,scraped,all,26544,26544,1.0,0.0,26544,"[""linkedin_li-3196665688 (1)"", ""linkedin_li-3197654586 (1)"", ""linkedin_li-3421399487 (1)"", ""linkedin_li-3507634980 (1)"", ""linkedin_li-3696371940 (1)""]"
uid,VARCHAR,scraped,swe,4318,4318,1.0,0.0,4318,"[""linkedin_li-3196665688 (1)"", ""linkedin_li-3736674638 (1)"", ""linkedin_li-3784029352 (1)"", ""linkedin_li-3848834439 (1)"", ""linkedin_li-3875730538 (1)""]"
job_id,VARCHAR,kaggle_arshkon,all,117644,117644,1.0,0.0,117644,"[""arshkon_1014822088 (1)"", ""arshkon_103254301 (1)"", ""arshkon_103860943 (1)"", ""arshkon_1093227543 (1)"", ""arshkon_10998357 (1)""]"
job_id,VARCHAR,kaggle_arshkon,swe,4639,4639,1.0,0.0,4639,"[""arshkon_133130219 (1)"", ""arshkon_175485704 (1)"", ""arshkon_2234533717 (1)"", ""arshkon_2269442456 (1)"", ""arshkon_3475933396 (1)""]"
job_id,VARCHAR,kaggle_asaniczka,all,1012193,1012193,1.0,0.0,1012193,"[""asaniczka_0000013cc4386253 (1)"", ""asaniczka_00000fd1404e8578 (1)"", ""asaniczka_0000527d9e26a023 (1)"", ""asaniczka_00005de450c4dc21 (1)"", ""asaniczka_000063fa9c460488 (1)""]"
job_id,VARCHAR,kaggle_asaniczka,swe,22043,22043,1.0,0.0,22043,"[""asaniczka_00015ce036ec7460 (1)"", ""asaniczka_0003c47024a5c2bc (1)"", ""asaniczka_000459587be6807b (1)"", ""asaniczka_00075366bcbc814d (1)"", ""asaniczka_00088a75e9a4b190 (1)""]"
job_id,VARCHAR,scraped,all,26544,26544,1.0,0.0,26544,"[""linkedin_li-3196665688 (1)"", ""linkedin_li-3197654586 (1)"", ""linkedin_li-3421399487 (1)"", ""linkedin_li-3507634980 (1)"", ""linkedin_li-3696371940 (1)""]"
