column,source,subset,n_rows,non_null_n,non_null_rate
uid,kaggle_arshkon,all,117644,117644,1.0
uid,kaggle_arshkon,swe,4639,4639,1.0
uid,kaggle_asaniczka,all,1012193,1012193,1.0
uid,kaggle_asaniczka,swe,22043,22043,1.0
uid,scraped,all,26544,26544,1.0
uid,scraped,swe,4318,4318,1.0
job_id,kaggle_arshkon,all,117644,117644,1.0
job_id,kaggle_arshkon,swe,4639,4639,1.0
job_id,kaggle_asaniczka,all,1012193,1012193,1.0
job_id,kaggle_asaniczka,swe,22043,22043,1.0
job_id,scraped,all,26544,26544,1.0
job_id,scraped,swe,4318,4318,1.0
source,kaggle_arshkon,all,117644,117644,1.0
source,kaggle_arshkon,swe,4639,4639,1.0
source,kaggle_asaniczka,all,1012193,1012193,1.0
source,kaggle_asaniczka,swe,22043,22043,1.0
source,scraped,all,26544,26544,1.0
source,scraped,swe,4318,4318,1.0
source_platform,kaggle_arshkon,all,117644,117644,1.0
source_platform,kaggle_arshkon,swe,4639,4639,1.0
source_platform,kaggle_asaniczka,all,1012193,1012193,1.0
source_platform,kaggle_asaniczka,swe,22043,22043,1.0
source_platform,scraped,all,26544,26544,1.0
source_platform,scraped,swe,4318,4318,1.0
site,kaggle_arshkon,all,117644,117644,1.0
site,kaggle_arshkon,swe,4639,4639,1.0
site,kaggle_asaniczka,all,1012193,1012193,1.0
site,kaggle_asaniczka,swe,22043,22043,1.0
site,scraped,all,26544,26544,1.0
site,scraped,swe,4318,4318,1.0
title,kaggle_arshkon,all,117644,117644,1.0
title,kaggle_arshkon,swe,4639,4639,1.0
title,kaggle_asaniczka,all,1012193,1012193,1.0
title,kaggle_asaniczka,swe,22043,22043,1.0
title,scraped,all,26544,26544,1.0
title,scraped,swe,4318,4318,1.0
title_normalized,kaggle_arshkon,all,117644,117644,1.0
title_normalized,kaggle_arshkon,swe,4639,4639,1.0
title_normalized,kaggle_asaniczka,all,1012193,1012193,1.0
title_normalized,kaggle_asaniczka,swe,22043,22043,1.0
