,2024|junior|kaggle_arshkon,2024|junior|kaggle_asaniczka,2024|mid|kaggle_arshkon,2024|mid|kaggle_asaniczka,2024|senior|kaggle_arshkon,2024|senior|kaggle_asaniczka,2024|unknown|kaggle_arshkon,2024|unknown|kaggle_asaniczka,2026|junior|scraped,2026|mid|scraped,2026|senior|scraped,2026|unknown|scraped
2024|junior|kaggle_arshkon,1.0000001,0.9802414,0.9367243,0.9177763,0.9578077,0.95739466,0.96549517,0.95751333,0.98314404,0.93732786,0.9242189,0.9401908
2024|junior|kaggle_asaniczka,0.9802414,1.0,0.942549,0.9499905,0.94923645,0.9760577,0.96636415,0.98119354,0.98035884,0.95086753,0.93520355,0.9537684
2024|mid|kaggle_arshkon,0.9367243,0.942549,1.0,0.920499,0.93140686,0.94423807,0.9442185,0.94826484,0.9200034,0.9130217,0.9033829,0.9170519
2024|mid|kaggle_asaniczka,0.9177763,0.9499905,0.920499,0.9999998,0.9420672,0.97370493,0.9555434,0.97390413,0.93798494,0.9647355,0.95344514,0.9629766
2024|senior|kaggle_arshkon,0.9578077,0.94923645,0.93140686,0.9420672,1.0,0.97830504,0.9924674,0.96873325,0.9600421,0.9792262,0.9795846,0.983693
2024|senior|kaggle_asaniczka,0.95739466,0.9760577,0.94423807,0.97370493,0.97830504,0.9999999,0.98625124,0.9962808,0.96807456,0.9849248,0.97952604,0.9876962
2024|unknown|kaggle_arshkon,0.96549517,0.96636415,0.9442185,0.9555434,0.9924674,0.98625124,1.0,0.98470175,0.96330595,0.97674453,0.97050405,0.9828047
2024|unknown|kaggle_asaniczka,0.95751333,0.98119354,0.94826484,0.97390413,0.96873325,0.9962808,0.98470175,0.9999999,0.9638736,0.9744997,0.9653334,0.9796295
2026|junior|scraped,0.98314404,0.98035884,0.9200034,0.93798494,0.9600421,0.96807456,0.96330595,0.9638736,0.9999999,0.95993423,0.955217,0.966012
2026|mid|scraped,0.93732786,0.95086753,0.9130217,0.9647355,0.9792262,0.9849248,0.97674453,0.9744997,0.95993423,1.0,0.98896194,0.9906181
2026|senior|scraped,0.9242189,0.93520355,0.9033829,0.95344514,0.9795846,0.97952604,0.97050405,0.9653334,0.955217,0.98896194,0.9999999,0.9956387
2026|unknown|scraped,0.9401908,0.9537684,0.9170519,0.9629766,0.983693,0.9876962,0.9828047,0.9796295,0.966012,0.9906181,0.9956387,1.0
