period2,seniority_3level,text_source,n
2024,junior,llm,345
2024,mid,llm,44
2024,senior,llm,2000
2024,unknown,llm,2000
2026,junior,llm,859
2026,mid,llm,86
2026,senior,llm,2000
2026,unknown,llm,2000
