period,pair,embedding,tfidf,both_high,both_low,diverges
2024,junior-vs-senior,0.9727449417114258,0.9461381380158436,True,False,False
2026,junior-vs-senior,0.9552169442176819,0.8629268588916822,True,False,False
cross-period,kaggle_arshkon-vs-scraped-junior,0.9831441044807434,0.9079336432396253,True,False,False
cross-period,kaggle_arshkon-vs-scraped-senior,0.9795846343040466,0.8920011349553353,True,False,False
cross-period,kaggle_asaniczka-vs-scraped-junior,0.980358898639679,0.8960703074739376,True,False,False
cross-period,kaggle_asaniczka-vs-scraped-senior,0.9795259237289429,0.882037692927591,True,False,False
within-2024,arshkon-vs-asaniczka-junior,0.9802414178848267,0.9458090716175601,True,False,False
within-2024,arshkon-vs-asaniczka-senior,0.9783051013946533,0.9334024717369127,True,False,False
within-2024,arshkon-vs-asaniczka-unknown,0.9847018122673035,0.9548708638104507,True,False,False
