,2024|junior|kaggle_arshkon,2024|junior|kaggle_asaniczka,2024|mid|kaggle_arshkon,2024|mid|kaggle_asaniczka,2024|senior|kaggle_arshkon,2024|senior|kaggle_asaniczka,2024|unknown|kaggle_arshkon,2024|unknown|kaggle_asaniczka,2026|junior|scraped,2026|mid|scraped,2026|senior|scraped,2026|unknown|scraped
2024|junior|kaggle_arshkon,1.0,0.9458090716175599,0.8637512486424481,0.8493346882542608,0.9016082765579463,0.9058292963725738,0.9257303442066187,0.9075493445935195,0.9079336432396251,0.8703185280805839,0.7807819549213247,0.829977113813645
2024|junior|kaggle_asaniczka,0.9458090716175599,1.0000000000000004,0.8607639898221969,0.8980601765785368,0.8796183345959255,0.9524024454687433,0.9198138656221724,0.9620729240362552,0.8960703074739371,0.8758522016468047,0.8056484420360404,0.8642779268093287
2024|mid|kaggle_arshkon,0.8637512486424481,0.8607639898221969,0.9999999999999996,0.8254387736468259,0.8267755875380722,0.8686914757253664,0.8546271909176941,0.8731075049896379,0.7556290241488957,0.7708963177915603,0.7082639213748888,0.748275437035773
2024|mid|kaggle_asaniczka,0.8493346882542608,0.8980601765785368,0.8254387736468259,1.0000000000000002,0.8631386981362921,0.9068442140655554,0.8885167049267988,0.9167724001262679,0.7975897033037447,0.8615979589803132,0.7815317228435781,0.8349585283766394
2024|senior|kaggle_arshkon,0.9016082765579463,0.8796183345959255,0.8267755875380722,0.8631386981362921,0.9999999999999997,0.9334024717369126,0.9807138216937361,0.9156978138182867,0.8222524406259465,0.9152805758280151,0.8920011349553355,0.9073131411004979
2024|senior|kaggle_asaniczka,0.9058292963725738,0.9524024454687433,0.8686914757253664,0.9068442140655554,0.9334024717369126,1.0000000000000004,0.9503824847418384,0.9870256717066623,0.8524869805080559,0.9216110805463991,0.882037692927591,0.9123441125113635
2024|unknown|kaggle_arshkon,0.9257303442066187,0.9198138656221724,0.8546271909176941,0.8885167049267988,0.9807138216937361,0.9503824847418384,0.9999999999999992,0.95487086381045,0.8314159939259876,0.9090180541632755,0.8557175631865195,0.8986219012295275
2024|unknown|kaggle_asaniczka,0.9075493445935195,0.9620729240362552,0.8731075049896379,0.9167724001262679,0.9156978138182867,0.9870256717066623,0.95487086381045,1.0000000000000004,0.8431887717289362,0.8956614730728316,0.8418819030793044,0.8950494030069253
2026|junior|scraped,0.9079336432396251,0.8960703074739371,0.7556290241488957,0.7975897033037447,0.8222524406259465,0.8524869805080559,0.8314159939259876,0.8431887717289362,1.0000000000000002,0.8967738218347794,0.8629268588916822,0.9019739814704832
2026|mid|scraped,0.8703185280805839,0.8758522016468047,0.7708963177915603,0.8615979589803132,0.9152805758280151,0.9216110805463991,0.9090180541632755,0.8956614730728316,0.8967738218347794,0.9999999999999994,0.9262895416383131,0.9470257890254303
2026|senior|scraped,0.7807819549213247,0.8056484420360404,0.7082639213748888,0.7815317228435781,0.8920011349553355,0.882037692927591,0.8557175631865195,0.8418819030793044,0.8629268588916822,0.9262895416383131,0.9999999999999999,0.9793790454053795
2026|unknown|scraped,0.829977113813645,0.8642779268093287,0.748275437035773,0.8349585283766394,0.9073131411004979,0.9123441125113635,0.8986219012295275,0.8950494030069253,0.9019739814704832,0.9470257890254303,0.9793790454053795,1.0000000000000007
