period,pair,representation,cosine_similarity,n_j,n_s
2024,junior-vs-senior,embedding,0.9727449417114258,345,2000
2024,junior-vs-senior,tfidf,0.9461381380158436,345,2000
2026,junior-vs-senior,embedding,0.9552169442176819,859,2000
2026,junior-vs-senior,tfidf,0.8629268588916822,859,2000
within-2024,arshkon-vs-asaniczka-junior,embedding,0.9802414178848267,169,176
within-2024,arshkon-vs-asaniczka-junior,tfidf,0.9458090716175601,169,176
within-2024,arshkon-vs-asaniczka-senior,embedding,0.9783051013946533,394,1606
within-2024,arshkon-vs-asaniczka-senior,tfidf,0.9334024717369127,394,1606
within-2024,arshkon-vs-asaniczka-unknown,embedding,0.9847018122673035,678,1322
within-2024,arshkon-vs-asaniczka-unknown,tfidf,0.9548708638104507,678,1322
cross-period,kaggle_arshkon-vs-scraped-junior,embedding,0.9831441044807434,169,859
cross-period,kaggle_arshkon-vs-scraped-junior,tfidf,0.9079336432396253,169,859
cross-period,kaggle_asaniczka-vs-scraped-junior,embedding,0.980358898639679,176,859
cross-period,kaggle_asaniczka-vs-scraped-junior,tfidf,0.8960703074739376,176,859
cross-period,kaggle_arshkon-vs-scraped-senior,embedding,0.9795846343040466,394,2000
cross-period,kaggle_arshkon-vs-scraped-senior,tfidf,0.8920011349553353,394,2000
cross-period,kaggle_asaniczka-vs-scraped-senior,embedding,0.9795259237289429,1606,2000
cross-period,kaggle_asaniczka-vs-scraped-senior,tfidf,0.882037692927591,1606,2000
