group,n_group,avg_pairwise_cosine,median_pairwise_cosine,representation
2024|junior,345,0.5039513111114502,0.5110079050064087,embedding
2024|mid,44,0.4555305242538452,0.46503281593322754,embedding
2024|senior,2000,0.5130752921104431,0.5258243680000305,embedding
2024|unknown,2000,0.46408796310424805,0.47886553406715393,embedding
2026|junior,859,0.5349012017250061,0.5382646322250366,embedding
2026|mid,86,0.6059940457344055,0.6146206855773926,embedding
2026|senior,2000,0.5621756911277771,0.57330322265625,embedding
2026|unknown,2000,0.5024837255477905,0.5142773389816284,embedding
2024|junior,345,0.23662291174066025,0.22672956820494633,tfidf
2024|mid,44,0.23056046121475948,0.2248390583274467,tfidf
2024|senior,2000,0.2467640632097243,0.23783547771546998,tfidf
2024|unknown,2000,0.2068150710888195,0.19187495616005223,tfidf
2026|junior,859,0.24220494960577696,0.22904884567737563,tfidf
2026|mid,86,0.27780145118625954,0.2710892109443594,tfidf
2026|senior,2000,0.26277030476676333,0.2539572469818982,tfidf
2026|unknown,2000,0.21825310393723868,0.2039084147721616,tfidf
