period2,seniority_3level,n,n_companies
2024,junior,345,285
2024,mid,44,36
2024,senior,2000,1408
2024,unknown,2000,1414
2026,junior,859,596
2026,mid,86,60
2026,senior,2000,1326
2026,unknown,2000,1428
