comparison,left_definition,right_definition,skill_clean,left_n,right_n,left_postings,right_postings,left_rate,right_rate,diff_left_minus_right_pp,p_value,fdr_bh,association_direction
J1_vs_S1,J1,S1,iot,204,11518,7,55,0.03431372549019608,0.004775134571974301,2.953859091822178,8.133821956108599e-09,8.426639546528509e-06,left_higher
J1_vs_S1,J1,S1,nginx,204,11518,6,44,0.029411764705882353,0.003820107657579441,2.559165704830291,2.7035995014380346e-08,1.4004645417449019e-05,left_higher
J1_vs_S1,J1,S1,polygraph,204,11518,7,78,0.03431372549019608,0.006772009029345372,2.7541716460850707,4.3099618879522105e-06,0.0014883735053061633,left_higher
J1_vs_S1,J1,S1,sales,204,11518,3,19,0.014705882352941176,0.0016495919430456675,1.3056290409895508,1.9468048748660836e-05,0.005042224625903156,left_higher
J1_vs_S1,J1,S1,excel,204,11518,7,88,0.03431372549019608,0.007640215315158882,2.66735101750372,2.5311248315794354e-05,0.00524449065103259,left_higher
J1_vs_S1,J1,S1,svn,204,11518,7,91,0.03431372549019608,0.007900677200902935,2.641304828929315,4.0070881443827745e-05,0.006918905529300925,left_higher
J1_vs_S1,J1,S1,pandas,204,11518,5,57,0.024509803921568627,0.004948775829137003,1.9561028092431627,0.00013446551013030755,0.01990089549928552,left_higher
J1_vs_S1,J1,S1,apache,204,11518,5,58,0.024509803921568627,0.0050355964577183535,1.9474207463850275,0.00016255612512720442,0.02105101820397297,left_higher
J1_vs_S1,J1,S1,system documentation,204,11518,3,27,0.014705882352941176,0.002344156971696475,1.2361725381244701,0.0005321961478985418,0.06126168991365436,left_higher
J1_vs_S1,J1,S1,engineering management,204,11518,3,28,0.014705882352941176,0.002430977600277826,1.227490475266335,0.0007146724564965702,0.07404006649304468,left_higher
J1_vs_S1,J1,S1,autocad,204,11518,5,68,0.024509803921568627,0.005903802743531863,1.8606001178036764,0.0008124696324741801,0.07651986720393188,left_higher
J1_vs_S1,J1,S1,microsoft office suite,204,11518,8,148,0.0392156862745098,0.012849453030039938,2.6366233244469863,0.0011235593161360855,0.0884153010112846,left_higher
J1_vs_S1,J1,S1,electronics,204,11518,4,49,0.0196078431372549,0.004254210800486195,1.5353632336768706,0.0011948013650173595,0.0884153010112846,left_higher
J1_vs_S1,J1,S1,terraform,204,11518,1,672,0.004901960784313725,0.05834346240666782,-5.34415016223541,0.0011440421921453483,0.0884153010112846,right_higher
J1_vs_S1,J1,S1,numpy,204,11518,4,51,0.0196078431372549,0.004427852057648897,1.5179991079606003,0.0016610984482200697,0.10962458713126191,left_higher
J1_vs_S1,J1,S1,mentoring,204,11518,1,635,0.004901960784313725,0.05513109914915784,-5.022913836484412,0.0016930438166990257,0.10962458713126191,right_higher
J1_vs_S1,J1,S1,multithreaded programming,204,11518,3,32,0.014705882352941176,0.0027782601146032295,1.1927622238337947,0.001967554111619421,0.11324366997987334,left_higher
J1_vs_S1,J1,S1,visualization,204,11518,3,32,0.014705882352941176,0.0027782601146032295,1.1927622238337947,0.001967554111619421,0.11324366997987334,left_higher
J1_vs_S1,J1,S1,programming,204,11518,10,223,0.049019607843137254,0.019361000173641257,2.9658607669495995,0.0026262372557317986,0.12956103794943538,left_higher
J1_vs_S1,J1,S1,objectoriented design,204,11518,8,160,0.0392156862745098,0.013891300573016149,2.5324385701493655,0.0025559848424121043,0.12956103794943538,left_higher
J1_vs_S1,J1,S1,sql databases,204,11518,3,33,0.014705882352941176,0.0028650807431845806,1.1840801609756595,0.002447867812670419,0.12956103794943538,left_higher
J1_vs_S1,J1,S1,database management,204,11518,4,55,0.0196078431372549,0.004775134571974301,1.4832708565280601,0.003002117842393135,0.13558556641951539,left_higher
J1_vs_S1,J1,S1,database technologies,204,11518,3,34,0.014705882352941176,0.0029519013717659317,1.1753980981175245,0.00301010427379233,0.13558556641951539,left_higher
J1_vs_S1,J1,S1,ai,204,11518,8,166,0.0392156862745098,0.014412224344504255,2.480346193000555,0.0036848987802655837,0.1527022054542058,left_higher
J1_vs_S1,J1,S1,english,204,11518,3,35,0.014705882352941176,0.0030387220003472823,1.1667160352593895,0.003661874300071681,0.1527022054542058,left_higher
J1_vs_S1,J1,S1,spring framework,204,11518,7,137,0.03431372549019608,0.011894426115645076,2.2419299374551005,0.0039570497087681265,0.15767321147245303,left_higher
J1_vs_S1,J1,S1,c / c++,204,11518,16,451,0.0784313725490196,0.03915610349018927,3.9275269058830338,0.004467675389440268,0.16530398940928995,left_higher
J1_vs_S1,J1,S1,software testing,204,11518,16,451,0.0784313725490196,0.03915610349018927,3.9275269058830338,0.004467675389440268,0.16530398940928995,left_higher
J1_vs_S1,J1,S1,statistics,204,11518,6,111,0.029411764705882353,0.009637089772529953,1.97746749333524,0.004856124400579472,0.1734808578965632,left_higher
J1_vs_S1,J1,S1,software engineering,204,11518,21,2046,0.10294117647058823,0.177635006077444,-7.469382960685578,0.005522357453877323,0.19070541074056357,right_higher
J1_vs_S1,J1,S1,product development,204,11518,9,207,0.04411764705882353,0.017971870116339644,2.6145776942483887,0.005915400375125941,0.19333346765490972,left_higher
J1_vs_S1,J1,S1,statistical analysis,204,11518,5,86,0.024509803921568627,0.00746657405799618,1.7043229863572447,0.005971690120614972,0.19333346765490972,left_higher
J1_vs_S1,J1,S1,modeling,204,11518,5,87,0.024509803921568627,0.007553394686577531,1.6956409234991094,0.006517602566340564,0.19859518408025953,left_higher
J1_vs_S1,J1,S1,security,204,11518,1,508,0.004901960784313725,0.04410487931932627,-3.920291853501255,0.006462402351511849,0.19859518408025953,right_higher
J1_vs_S1,J1,S1,computer science,204,11518,35,1283,0.1715686274509804,0.11139086646987324,6.017776098110715,0.006996507696617056,0.20709662781986485,left_higher
J1_vs_S1,J1,S1,dbt,204,11518,3,39,0.014705882352941176,0.003386004514672686,1.131987783826849,0.0073127573856041185,0.21044490698571852,left_higher
J1_vs_S1,J1,S1,data modeling,204,11518,12,319,0.058823529411764705,0.027695780517450946,3.112774889431376,0.007803323296965306,0.21849305231502858,left_higher
J1_vs_S1,J1,S1,data infrastructure,204,11518,3,40,0.014705882352941176,0.0034728251432540372,1.1233057209687138,0.00852182246372264,0.22637456595940142,left_higher
J1_vs_S1,J1,S1,memory management,204,11518,3,40,0.014705882352941176,0.0034728251432540372,1.1233057209687138,0.00852182246372264,0.22637456595940142,left_higher
J1_vs_S1,J1,S1,critical thinking,204,11518,9,216,0.04411764705882353,0.0187532557735718,2.5364391285251733,0.0088641095633769,0.2293479796116104,left_higher
J1_vs_S1,J1,S1,embedded software development,204,11518,5,91,0.024509803921568627,0.007900677200902935,1.6609126720665692,0.009076512706637091,0.2293479796116104,left_higher
J1_vs_S1,J1,S1,selfstarter,204,11518,4,65,0.0196078431372549,0.0056433408577878106,1.3964502279467093,0.009750350070016988,0.24050863506041906,left_higher
J1_vs_S1,J1,S1,azure,204,11518,9,1124,0.04411764705882353,0.09758638652543844,-5.346873946661491,0.0104101602023193,0.2508122318512278,right_higher
J1_vs_S1,J1,S1,science,204,11518,4,66,0.0196078431372549,0.005730161486369161,1.387768165088574,0.010766494460317006,0.25350200592928224,left_higher
J1_vs_S1,J1,S1,kubernetes,204,11518,16,1604,0.0784313725490196,0.13926028824448689,-6.082891569546728,0.012578833028918508,0.28959268928799053,right_higher
J1_vs_S1,J1,S1,production,204,11518,3,44,0.014705882352941176,0.003820107657579441,1.0885774695361734,0.01473377207747859,0.3230368265733344,left_higher
J1_vs_S1,J1,S1,risk management,204,11518,0,325,0.0,0.028216704288939052,-2.8216704288939054,0.014966957215752945,0.3230368265733344,right_higher
J1_vs_S1,J1,S1,open source frameworks,204,11518,0,327,0.0,0.028390345546101755,-2.8390345546101754,0.014652049610971097,0.3230368265733344,right_higher
J1_vs_S1,J1,S1,agile practices,204,11518,0,317,0.0,0.027522139260288243,-2.7522139260288245,0.01629673928661874,0.3445596306313677,right_higher
J1_vs_S1,J1,S1,data acquisition,204,11518,3,45,0.014705882352941176,0.003906928286160792,1.0798954066780384,0.016657844277629175,0.3451505334324765,left_higher
J1_vs_S1,J1,S1,data science,204,11518,10,272,0.049019607843137254,0.023615210974127453,2.54043968690098,0.01890804629927006,0.3767064608854574,left_higher
J1_vs_S1,J1,S1,problem resolution,204,11518,3,46,0.014705882352941176,0.003993748914742142,1.0712133438199034,0.018739779966378826,0.3767064608854574,left_higher
J1_vs_S1,J1,S1,r,204,11518,5,103,0.024509803921568627,0.008942524743879146,1.5567279177689481,0.021064650442989562,0.41175429922522994,left_higher
J1_vs_S1,J1,S1,data governance,204,11518,6,135,0.029411764705882353,0.011720784858482375,1.769097984739998,0.021584759327409882,0.4141076048740118,left_higher
J1_vs_S1,J1,S1,data analytics,204,11518,10,278,0.049019607843137254,0.02413613474561556,2.4883473097521693,0.022862361828659892,0.43064376099075724,left_higher
J1_vs_S1,J1,S1,attention to detail,204,11518,14,438,0.06862745098039216,0.03802743531863171,3.0600015661760454,0.024444856138126685,0.4522298385553437,left_higher
J1_vs_S1,J1,S1,protocols,204,11518,3,49,0.014705882352941176,0.004254210800486195,1.045167155245498,0.025970271286011697,0.4638827767639331,left_higher
J1_vs_S1,J1,S1,solidworks,204,11518,3,49,0.014705882352941176,0.004254210800486195,1.045167155245498,0.025970271286011697,0.4638827767639331,left_higher
J1_vs_S1,J1,S1,engineering,204,11518,17,569,0.08333333333333333,0.04940093766278868,3.393239567054465,0.027490811949039386,0.4668931340853247,left_higher
J1_vs_S1,J1,S1,node.js,204,11518,4,635,0.0196078431372549,0.05513109914915784,-3.552325601190294,0.02673751988317369,0.4668931340853247,right_higher
J1_vs_S1,J1,S1,nosql,204,11518,5,713,0.024509803921568627,0.06190310817850321,-3.7393304256934585,0.027257834971274524,0.4668931340853247,right_higher
J1_vs_S1,J1,S1,aws,204,11518,30,2421,0.14705882352941177,0.2101927417954506,-6.313391826603884,0.0279474509770738,0.46699289052013643,right_higher
