category,period_group,seniority_3level,denominator,mentions,mention_rate
ai_ml,2024,junior,379,15,0.0395778364116095
ai_ml,2024,mid,39,0,0.0
ai_ml,2024,senior,13595,400,0.02942258183155572
ai_ml,2024,unknown,8807,254,0.028840694901782673
ai_ml,2026,junior,1275,193,0.15137254901960784
ai_ml,2026,mid,52,2,0.038461538461538464
ai_ml,2026,senior,17713,2247,0.12685598148252697
ai_ml,2026,unknown,21841,2548,0.11666132503090518
ai_tool,2024,junior,379,9,0.023746701846965697
ai_tool,2024,mid,39,2,0.05128205128205128
ai_tool,2024,senior,13595,293,0.021552041191614565
ai_tool,2024,unknown,8807,186,0.021119563983195186
ai_tool,2026,junior,1275,255,0.2
ai_tool,2026,mid,52,8,0.15384615384615385
ai_tool,2026,senior,17713,4011,0.2264438547959126
ai_tool,2026,unknown,21841,4094,0.1874456297788563
architecture,2024,junior,379,31,0.08179419525065963
architecture,2024,mid,39,3,0.07692307692307693
architecture,2024,senior,13595,1823,0.1340934166973152
architecture,2024,unknown,8807,740,0.08402407176109912
architecture,2026,junior,1275,96,0.07529411764705882
architecture,2026,mid,52,7,0.1346153846153846
architecture,2026,senior,17713,3438,0.1940947326822108
architecture,2026,unknown,21841,3177,0.145460372693558
cloud,2024,junior,379,112,0.2955145118733509
cloud,2024,mid,39,15,0.38461538461538464
cloud,2024,senior,13595,5912,0.4348657594703935
cloud,2024,unknown,8807,3221,0.365731804246622
cloud,2026,junior,1275,444,0.34823529411764703
cloud,2026,mid,52,23,0.4423076923076923
cloud,2026,senior,17713,10117,0.5711624230790945
cloud,2026,unknown,21841,10852,0.4968636967171833
data,2024,junior,379,142,0.37467018469656993
data,2024,mid,39,17,0.4358974358974359
data,2024,senior,13595,5185,0.381390216991541
data,2024,unknown,8807,3142,0.3567616668559101
data,2026,junior,1275,493,0.38666666666666666
data,2026,mid,52,23,0.4423076923076923
data,2026,senior,17713,7422,0.41901428329475526
data,2026,unknown,21841,8351,0.3823542878073348
devops,2024,junior,379,57,0.1503957783641161
devops,2024,mid,39,7,0.1794871794871795
devops,2024,senior,13595,2832,0.2083118793674145
devops,2024,unknown,8807,1562,0.1773589190416714
devops,2026,junior,1275,284,0.2227450980392157
devops,2026,mid,52,18,0.34615384615384615
devops,2026,senior,17713,6879,0.38835883249590697
devops,2026,unknown,21841,7524,0.34448972116661325
framework,2024,junior,379,117,0.3087071240105541
framework,2024,mid,39,12,0.3076923076923077
framework,2024,senior,13595,4593,0.33784479588083854
framework,2024,unknown,8807,2649,0.3007834676961508
framework,2026,junior,1275,441,0.3458823529411765
framework,2026,mid,52,18,0.34615384615384615
framework,2026,senior,17713,7593,0.4286682097894202
framework,2026,unknown,21841,8066,0.3693054347328419
language,2024,junior,379,280,0.7387862796833773
language,2024,mid,39,24,0.6153846153846154
language,2024,senior,13595,10036,0.738212578153733
language,2024,unknown,8807,5753,0.6532303849210855
language,2026,junior,1275,1067,0.8368627450980393
language,2026,mid,52,45,0.8653846153846154
language,2026,senior,17713,14561,0.8220516005193925
language,2026,unknown,21841,17360,0.7948354013094638
ops,2024,junior,379,52,0.13720316622691292
ops,2024,mid,39,8,0.20512820512820512
ops,2024,senior,13595,2817,0.20720853254873114
ops,2024,unknown,8807,1635,0.18564778017486092
ops,2026,junior,1275,226,0.1772549019607843
ops,2026,mid,52,13,0.25
ops,2026,senior,17713,3593,0.20284536780895387
ops,2026,unknown,21841,4407,0.2017764754361064
practice,2024,junior,379,81,0.21372031662269128
practice,2024,mid,39,6,0.15384615384615385
practice,2024,senior,13595,3729,0.2742920191246782
practice,2024,unknown,8807,1887,0.21426138299080277
practice,2026,junior,1275,367,0.28784313725490196
practice,2026,mid,52,24,0.46153846153846156
practice,2026,senior,17713,8402,0.4743408795799695
practice,2026,unknown,21841,8786,0.40227095828945564
security,2024,junior,379,2,0.005277044854881266
security,2024,mid,39,0,0.0
security,2024,senior,13595,194,0.014269952188304524
security,2024,unknown,8807,104,0.011808788463722039
security,2026,junior,1275,14,0.010980392156862745
security,2026,mid,52,2,0.038461538461538464
security,2026,senior,17713,477,0.02692937390617061
security,2026,unknown,21841,430,0.019687743235199853
testing,2024,junior,379,10,0.026385224274406333
testing,2024,mid,39,3,0.07692307692307693
testing,2024,senior,13595,657,0.04832659065833027
testing,2024,unknown,8807,448,0.050868627228341096
testing,2026,junior,1275,50,0.0392156862745098
testing,2026,mid,52,2,0.038461538461538464
testing,2026,senior,17713,1028,0.05803647038897985
testing,2026,unknown,21841,1431,0.06551897806876975
tooling,2024,junior,379,77,0.20316622691292877
tooling,2024,mid,39,8,0.20512820512820512
tooling,2024,senior,13595,2870,0.2111070246414123
tooling,2024,unknown,8807,1880,0.21346656069035994
tooling,2026,junior,1275,350,0.27450980392156865
tooling,2026,mid,52,19,0.36538461538461536
tooling,2026,senior,17713,3674,0.20741828035905832
tooling,2026,unknown,21841,5367,0.24573050684492467
