period_group,ai_tool_or_llm_mention,n,mean_tech_count,median_tech_count,mean_non_ai_tech_count,median_non_ai_tech_count,mean_tech_density_per_1k,mean_non_ai_tech_density_per_1k,median_char_len
2024,False,22323,5.153832370201138,4.0,5.153832370201138,4.0,7.371917471718847,7.371917471718847,878.0
2024,True,497,7.219315895372233,7.0,5.788732394366197,5.0,7.9555846270008805,6.145907806272335,966.0
2026,False,32379,6.599277309367182,6.0,6.599277309367182,6.0,5.583977758725095,5.583977758725095,1493.0
2026,True,8502,9.782168901434957,9.0,7.625147024229593,7.0,6.862423503100837,5.228552356532346,1735.0
