period_group,source,target,source_label,target_label,phi,co_mentions_cap50,co_mention_companies,n_cap50
2024,python,java,Python,Java,0.15054607851767451,2119,1177,19372
2024,python,cpp,Python,C++,0.22687677129800154,1601,854,19372
2024,python,scala,Python,Scala,0.1748996947274393,426,262,19372
2024,python,perl,Python,Perl,0.16350919258572813,295,208,19372
2024,python,bash_shell,Python,Bash/Shell,0.2539382838325985,717,515,19372
2024,python,django,Python,Django,0.15930353257100807,253,208,19372
2024,python,aws,Python,AWS,0.21527966695142367,2207,1317,19372
2024,python,kubernetes,Python,Kubernetes,0.1789682857967812,1232,778,19372
2024,python,docker,Python,Docker,0.188208421041427,1196,788,19372
2024,python,terraform,Python,Terraform,0.1612602552766632,713,520,19372
2024,python,ansible,Python,Ansible,0.1711476281447686,582,409,19372
2024,python,linux,Python,Linux,0.17860828258970068,1527,872,19372
2024,python,airflow,Python,Airflow,0.15229986225168693,283,230,19372
2024,java,javascript,Java,JavaScript,0.21531702987360796,1774,1004,19372
2024,java,scala,Java,Scala,0.1842412319793542,402,239,19372
2024,java,angular,Java,Angular,0.18144064583503802,989,630,19372
2024,java,microservices,Java,Microservices,0.25212811979907523,1107,641,19372
2024,java,aws,Java,AWS,0.1782479457474622,1828,989,19372
2024,java,jenkins,Java,Jenkins,0.2109896893899152,951,542,19372
2024,java,kafka,Java,Kafka,0.23645512042572753,755,452,19372
2024,java,junit,Java,JUnit,0.21584706758045905,377,262,19372
2024,javascript,typescript,JavaScript,TypeScript,0.22345948188634324,1047,697,19372
2024,javascript,csharp,JavaScript,C#,0.19135004289592816,1003,725,19372
2024,javascript,php,JavaScript,PHP,0.18265112905692246,302,256,19372
2024,javascript,html,JavaScript,HTML,0.5556851824768616,1811,1145,19372
2024,javascript,css,JavaScript,CSS,0.28318314619920326,513,396,19372
2024,javascript,react,JavaScript,React,0.43525589710940427,1738,1104,19372
2024,javascript,angular,JavaScript,Angular,0.3820154181711504,1324,835,19372
2024,javascript,vue,JavaScript,Vue,0.20270163355100274,322,271,19372
2024,javascript,nodejs,JavaScript,Node.js,0.30332846729244106,967,655,19372
