period_group,seniority_3level,technology,label,category,denominator,mentions,mention_rate
2024,junior,chroma,Chroma,ai_ml,379,0,0.0
2024,junior,computer_vision,Computer vision,ai_ml,379,0,0.0
2024,junior,deep_learning,Deep learning,ai_ml,379,0,0.0
2024,junior,hugging_face,Hugging Face,ai_ml,379,0,0.0
2024,junior,langchain,LangChain,ai_ml,379,0,0.0
2024,junior,llamaindex,LlamaIndex,ai_ml,379,0,0.0
2024,junior,machine_learning,Machine learning,ai_ml,379,1,0.002638522427440633
2024,junior,mlops,MLOps,ai_ml,379,3,0.0079155672823219
2024,junior,nlp,NLP,ai_ml,379,0,0.0
2024,junior,numpy,NumPy,ai_ml,379,6,0.0158311345646438
2024,junior,pandas,Pandas,ai_ml,379,6,0.0158311345646438
2024,junior,pinecone,Pinecone,ai_ml,379,0,0.0
2024,junior,pytorch,PyTorch,ai_ml,379,8,0.021108179419525065
2024,junior,rag,RAG,ai_ml,379,1,0.002638522427440633
2024,junior,scikit_learn,scikit-learn,ai_ml,379,1,0.002638522427440633
2024,junior,scipy,SciPy,ai_ml,379,2,0.005277044854881266
2024,junior,tensorflow,TensorFlow,ai_ml,379,5,0.013192612137203167
2024,junior,vector_databases,Vector databases,ai_ml,379,0,0.0
2024,junior,weaviate,Weaviate,ai_ml,379,0,0.0
2024,junior,agents,Agents,ai_tool,379,0,0.0
2024,junior,anthropic_api,Anthropic API,ai_tool,379,0,0.0
2024,junior,chatgpt,ChatGPT,ai_tool,379,0,0.0
2024,junior,claude,Claude,ai_tool,379,0,0.0
2024,junior,claude_api,Claude API,ai_tool,379,0,0.0
2024,junior,codex,Codex,ai_tool,379,0,0.0
2024,junior,copilot,Copilot,ai_tool,379,0,0.0
2024,junior,cursor,Cursor,ai_tool,379,0,0.0
2024,junior,evals,Evals,ai_tool,379,0,0.0
2024,junior,fine_tuning,Fine-tuning,ai_tool,379,1,0.002638522427440633
2024,junior,gemini,Gemini,ai_tool,379,0,0.0
2024,junior,generative_ai,Generative AI,ai_tool,379,5,0.013192612137203167
2024,junior,llm,LLM,ai_tool,379,6,0.0158311345646438
2024,junior,mcp,MCP,ai_tool,379,0,0.0
2024,junior,openai_api,OpenAI API,ai_tool,379,0,0.0
2024,junior,prompt_engineering,Prompt engineering,ai_tool,379,0,0.0
2024,junior,microservices,Microservices,architecture,379,29,0.07651715039577836
