,2024_junior,2024_mid,2024_senior,2026_junior,2026_mid,2026_senior
2024_junior,0.9999998,0.9824998,0.9853319,0.8892482,0.91001594,0.8641782
2024_mid,0.9824998,1.0000002,0.9772324,0.8632165,0.8973501,0.8440863
2024_senior,0.9853319,0.9772324,1.0,0.8786229,0.9126337,0.88042784
2026_junior,0.8892482,0.8632165,0.8786229,1.0000001,0.96436596,0.96286625
2026_mid,0.91001594,0.8973501,0.9126337,0.96436596,1.0000002,0.9769682
2026_senior,0.8641782,0.8440863,0.88042784,0.96286625,0.9769682,0.99999994
