representation,group,n_total,n_sampled,mean_pairwise_cosine,mean_centroid_dist
embeddings,2024_junior,773,500,0.5075290203094482,0.49247097969055176
embeddings,2024_mid,1591,500,0.48670831322669983,0.5132916867733002
embeddings,2024_senior,2000,500,0.5096962451934814,0.49030375480651855
embeddings,2026_junior,2000,500,0.49078261852264404,0.509217381477356
embeddings,2026_mid,870,500,0.502297043800354,0.497702956199646
embeddings,2026_senior,2000,500,0.5210222601890564,0.4789777398109436
tfidf,2024_junior,773,500,0.3394905924797058,0.6605094075202942
tfidf,2024_mid,1591,500,0.2641950845718384,0.7358049154281616
tfidf,2024_senior,2000,500,0.32358184456825256,0.6764181554317474
tfidf,2026_junior,2000,500,0.27173319458961487,0.7282668054103851
tfidf,2026_mid,870,500,0.2924669682979584,0.7075330317020416
tfidf,2026_senior,2000,500,0.3435700833797455,0.6564299166202545
