representation,arshkon_vs_asaniczka_cos,arshkon_vs_scraped_cos,asaniczka_vs_scraped_cos
embeddings,0.9944722056388855,0.9672605395317078,0.963042140007019
tfidf,0.9889554381370544,0.9022212624549866,0.8844693303108215
