,2024_junior,2024_mid,2024_senior,2026_junior,2026_mid,2026_senior
2024_junior,1.0000001,0.9937718,0.99350744,0.96359956,0.9665786,0.95622814
2024_mid,0.9937718,1.0000001,0.99125135,0.95707965,0.9638166,0.9522364
2024_senior,0.99350744,0.99125135,1.0000004,0.9627323,0.9671549,0.96245587
2026_junior,0.96359956,0.95707965,0.9627323,1.0000002,0.993696,0.9921988
2026_mid,0.9665786,0.9638166,0.9671549,0.993696,1.0000002,0.9941164
2026_senior,0.95622814,0.9522364,0.96245587,0.9921988,0.9941164,0.99999976
