source,period,period_group,occ,n,text_labeled_n,class_labeled_n,entry_final_share,yoe_le2_share,yoe_le3_share,text_labeled_share,class_labeled_share
kaggle_arshkon,2024-04,2024,adjacent,2396,2382.0,1555.0,0.03923205342237062,0.11227045075125208,0.2166110183639399,0.9941569282136895,0.6489983305509182
kaggle_arshkon,2024-04,2024,control,8614,7142.0,4498.0,0.1061063385186905,0.2668911074994195,0.3352681680984444,0.8291153935453912,0.5221732064081728
kaggle_arshkon,2024-04,2024,swe,4691,4679.0,2910.0,0.03730547857599659,0.09294393519505435,0.19334896610530802,0.9974419100405031,0.6203368151780004
kaggle_asaniczka,2024-01,2024,adjacent,9420,8874.0,4232.0,0.012632696390658175,0.09214437367303609,0.20976645435244162,0.9420382165605096,0.44925690021231424
kaggle_asaniczka,2024-01,2024,control,105341,17558.0,4244.0,0.011059321631653391,0.2935419257459109,0.372077348800562,0.16667774180993156,0.04028820687101888
kaggle_asaniczka,2024-01,2024,swe,18129,15574.0,2345.0,0.008715317998786474,0.0733631198632026,0.17254123227977275,0.8590655855259529,0.1293507639693309
scraped,2026-03,2026,adjacent,5601,4785.0,3170.0,0.04463488662738797,0.11730048205677558,0.22799500089269772,0.8543117300482057,0.5659703624352794
scraped,2026-03,2026,control,19797,3685.0,2802.0,0.03571248168914482,0.2565540233368692,0.35661968985199777,0.18613931403748044,0.14153659645400818
scraped,2026-03,2026,swe,19796,3979.0,2169.0,0.0335421297231764,0.1173974540311174,0.2294908062234795,0.20100020206102243,0.10956758941200243
scraped,2026-04,2026,adjacent,4862,2327.0,1535.0,0.02900041135335253,0.1174413821472645,0.23220896750308515,0.4786096256684492,0.31571369806663924
scraped,2026-04,2026,control,17515,1844.0,1476.0,0.02409363402797602,0.26611475877819013,0.3548958035969169,0.10528118755352554,0.0842706251784185
scraped,2026-04,2026,swe,17356,1987.0,1026.0,0.021779211799953905,0.11540677575478221,0.22862410693708227,0.11448490435584235,0.05911500345701775
