metric,occ,value_2024,value_2026,change
entry_final_share,swe,0.01602928808192747,0.04779535509929317,0.0317660670173657
entry_final_share,adjacent,0.01889483065953654,0.04605820853348404,0.027163377873947497
entry_final_share,control,0.06531577445264403,0.10358056265984655,0.03826478820720253
yoe_le2_share,swe,0.07905803195962995,0.11578593066307641,0.03672789870344646
yoe_le2_share,adjacent,0.09670231729055258,0.11712348120938118,0.020421163918828603
yoe_le2_share,control,0.28340196518122884,0.24990865911582025,-0.033493306065408596
ai_tool_share,swe,0.019838717656953445,0.20380343318747896,0.1839647155305255
ai_tool_share,adjacent,0.024509803921568627,0.18140717716869173,0.1568973732471231
ai_tool_share,control,0.012516818200350634,0.014066496163682864,0.0015496779633322293
scope_any_share,swe,0.33433928659773415,0.5429148434870414,0.2085755568893073
scope_any_share,adjacent,0.33645276292335113,0.5433738344165019,0.20692107149315075
scope_any_share,control,0.11387450564683818,0.22141030325173547,0.10753579760489729
analysis_text_median_len,swe,2061.43526443378,2507.1765398855605,445.74127545178044
analysis_text_median_len,adjacent,2384.521212121212,2852.004379768296,467.483167647084
analysis_text_median_len,control,1694.6854894605945,1992.0867738399709,297.4012843793764
raw_desc_median_len,swe,3525.4903280067283,5057.015819589364,1531.5254915826354
raw_desc_median_len,adjacent,3598.313992869875,5136.22845436564,1537.9144614957645
raw_desc_median_len,control,3095.9815305581606,4130.152721958349,1034.171191400188
tech_count,swe,4.74452085291644,5.7271962302255135,0.9826753773090733
tech_count,adjacent,2.3555258467023172,3.806159932184233,1.4506340854819157
tech_count,control,0.10955273779916011,0.1567409572524662,0.04718821945330609
